Sample.ID,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Level.Age,Age,age,age estimate,Note.age,Age.Category,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
40450-2560,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Cave Without A Name,Late Pleistocene,Terminal.Pleistocene,13000,13000,assigned 13ka,Pleistocene,5,B1,0.591,8.9,-14.1,,,4.6,13.8,3,,x
41229-4098,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,040-045,,,3434,,Holocene,2,A5,0.53,6,-14.1,,,15.9,45.8,2.9,,x
41229-1306,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,075-080,,,5739,,Holocene,3,B2,0.526,5.4,-14.1,,,14.4,42.8,3,,x
908-4309,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Kincaid Shelter,disturbed fill #347,,,,,,1,E3,0.515,10.3,-14.1,,,14.5,43.4,3,,x
41229-PA-ON--3537,Large,Carnivore,Panthera,onca,Panthera,onca,100000,TMM,Halls Cave,NA,Pleistocene,12491.5,12491.5,,Pleistocene,1,G6,0.544,12.7,-14,,,15.6,45.1,2.9,,x
567395,Large,Carnivore,Canidae,modern,Canidae,modern,,TMM,NA,NA,,,0,,Modern,1,G8,0.59,10,-14,,,15.8,45.1,2.9,,x
40451-101,Large,Herbivore,Odocoileus,sp.,Odocoileus,sp.,55509,TMM,Wunderlich site,N/A,,,4600,,Holocene,4,C4,0.582,7.8,-14,,,15.1,43.5,2.9,,x
908-4257,Small,Carnivore,Mephitis,mephitis,Mephitis,sp.,2085,TMM,Kincaid Shelter,"Disturbed Fill, #54",,,,,,4,E1,0.541,7.1,-13.9,,,15.5,44.6,2.9,,x
41229-1598,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,025-030,,,2446,,Holocene,3,B5,0.585,5.9,-13.8,,,14.5,41.8,2.9,,x
41229-520,Large,Herbivore,Equus,,Equus,sp.,400000,TMM,Halls Cave,NA,Pleistocene,13569,13569,,Pleistocene,1,H2,0.512,5.7,-13.8,,,16,44.5,2.8,,x
908 -3939,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Kincaid Shelter,Disturbed Fill #116,,,,,,1,E2,0.602,9.8,-13.8,,,14.8,44,3,,x
908-437,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,"Zone 6, Square G-H, 6-7",,,3000,,Holocene,4,C5,0.517,7.8,-13.8,,,15.2,44.2,2.9,,x
41229-17045,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,020-025,,,2116,,Holocene,3,A6,0.588,4.3,-13.7,,,13,38.6,3,,x
908-4308,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Kincaid Shelter,Disturbed Fill #282,,,,,,1,B5,0.532,8.9,-13.7,,,15.4,43.7,2.8,,x
41229-7439,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,065-070,,,5081,,Holocene,2,C12,0.541,4.9,-13.6,,,15.1,43.8,2.9,,x
908-4291,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Kincaid Shelter,Disturbed Fill #349,,,,,,1,B11,0.533,8.4,-13.6,,,15.5,43,2.8,,x
41229-17144,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,060-065,,,4751,,Holocene,3,C7,0.538,4.1,-13.5,,,11.6,35.6,3.1,,x
41229-17046,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,020-025,,,2116,,Holocene,2,B12,0.575,4.9,-13.4,,,16.1,46.1,2.9,,x
908-3689,Large,Herbivore,Antilocapra,,Antilocapra,sp.,46083,TMM,Kincaid Shelter,"Zone 6, Square E-F, 7-8",,,3000,,Holocene,4,G4,0.523,6.1,-13.4,,,14.2,40.3,2.8,,x
908-2113,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,"Zone 6, Square A-G, 8-9",,,3000,,Holocene,5,H3,0.521,11,-13.4,,,15.5,43.6,2.8,,x
41229-4018,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,055-060,,,4422,,Holocene,3,E12,0.534,5.7,-13.3,,,15.6,44.6,2.9,,x
41229-17177,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,075-080,,,5739,,Holocene,2,E1,0.533,6,-13.2,,,14.6,42.1,2.9,,x
41229-15782,,NA,NA,,,,,TMM,Hall's Cave,140-145,,,10021,,Holocene,1,D4,0.376,11.1,-13.2,,,14.8,42.4,2.9,,x
41229-9951,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Hall's Cave,110-115,,,8045,,Holocene,1,A11,0.67,9.7,-13.1,,,16,43.4,2.7,,x
41229-7436,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,065-070,,,5081,,Holocene,2,B1,0.58,5,-13.1,,,16.4,45.1,2.8,,x
41229-4017,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,055-060,,,4422,,Holocene,2,A3,0.531,5.3,-13.1,,,15.3,44.8,2.9,,x
41229-17143,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,060-065,,,4751,,Holocene,3,B12,0.536,6.6,-13.1,,,13.6,40.2,3,,x
41229-7429,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,025-030,,,2446,,Holocene,3,A3,0.551,6.6,-13,,,14.8,44.2,3,,x
908-571,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square G-H, 8-9",,,3000,,Holocene,4,B11,0.59,6.3,-13,,,15.5,45.3,2.9,,x
908-820,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,"Zone 6, Square B-C, 7-8, #913",,,3000,,Holocene,4,A5,0.568,8.8,-13,,,14.9,43.2,2.9,,x
908-4521,Large,Carnivore,Canis,sp.,Canis,sp.,13406,TMM,Kincaid Shelter,#522,,,,,,5,C7,0.584,9.6,-13,,,13.4,42.2,3.1,,x
908-593,Small,Carnivore,Taxidea,taxus,Taxidea,,7108,TMM,Kincaid Shelter,"Zone Unknown, Square B-C, 1-2, #152",,,,,,5,E4,0.584,9.8,-13,,,15.6,43.7,2.8,,x
41229-17187,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,075-080,,,5739,,Holocene,2,A4,0.578,4.2,-12.9,,,15,42.4,2.8,,x
45817-1,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,77 Ranch,,,,,,,5,C4,0.536,6,-12.8,,,14,42,3,,x
41229-17510,Small,Herbivore,Sylvilagus,audubonii or floridanus,Sylvilagus,,1173,TMM,Hall's Cave,175-180,,,12327,,Pleistocene,3,B6,0.505,4.7,-12.8,,,15.3,44.2,2.9,,x
908-3931,Small,Carnivore,Lynx,rufus,Lynx,sp.,17950,TMM,Kincaid Shelter,disturbed fill #170,,,,,,6,B4,0.529,10.1,-12.8,,,14.8,43.6,2.9,,x
41229-3543,Large,Carnivore,Canis,lupus/dirus,Canis,lupus/dirus,37000,TMM,Hall's Cave,180-185,,,12656,,Pleistocene,1,A8,0.553,12.9,-12.7,,,15.6,43,2.7,,x
908-4283,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Kincaid Shelter,#195,,,,,,1,C10,0.545,10,-12.7,,,15.1,43,2.8,,x
41229-10802,Large,Carnivore,Canis,lupus/dirus,Canis,lupus/dirus,37000,TMM,Hall's Cave,171.5?,,,11998,,Pleistocene,1,A2,0.554,13.7,-12.6,,,15.5,42.4,2.7,,x
41229-8326,Large,Carnivore,Canis,sp.,Canis,sp.,13406,TMM,Hall's Cave,005-010,,,1128,,Holocene,1,D1,0.523,8.5,-12.6,,,15.1,42.8,2.8,,x
908-989,Small,Carnivore,Mephitis,mephitis,Mephitis,sp.,2085,TMM,Kincaid Shelter,"Zone 5, Square C-D, 4-5, #205",,,7000,,Holocene,4,B4,0.512,9.3,-12.6,,,15.3,43.7,2.9,,x
41229-2539,Large,Carnivore,Canis,cf. latrans,Canis,latrans,13406,TMM,Hall's Cave,090-095,,,6728,,Holocene,1,C4,0.628,8.1,-12.5,,,15.2,42.2,2.8,,x
41229-10803,Large,Herbivore,Bison,antiguus,Bison,antiguus,579255,TMM,Halls Cave,NA,Pleistocene,21577,21577,,Pleistocene,1,H7,0.523,7,-12.3,,,13.5,38.3,2.8,,x
908-2142,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-G, 9-10",,,3000,,Holocene,4,E2,0.542,6,-12.3,,,14.9,42.5,2.9,,x
1018-69,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Sitter Ranch,no tag information associated with this specimen,,,,,,4,E4,0.58,6.5,-12.3,,,11.6,39.7,3.4,,x
43481-4,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,W. Culp Site,"Trench #2, 15"" - 52"" ",,,,,,1,F2,0.385,8.6,-12.3,,,15.7,44.6,2.8,,x
