Sample.ID,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Level.Age,Age,age,age estimate,Note.age,Age.Category,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
1018-72,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Sitter Ranch,no tag information associated with this specimen,,,,,,4,D2,0.545,6.9,-9.7,,,14.6,43.2,3,,x
908-834,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square B-C, 7-8",,,3000,,Holocene,6,A6,0.553,5.3,-9.6,,,14.1,42.3,3,,x
908-565,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square G-H, 8-9",,,3000,,Holocene,5,E2,0.542,6.6,-9.6,,,15.3,43.8,2.9,,x
43133-236,Large,Carnivore,Canis,lupus,Canis,lupus,37000,TMM,Bering Sinkhole,,,,4950,,Holocene,1,F3,0.581,9.9,-9.5,,,16.1,43.4,2.7,,x
43423-1,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Mustang Branch,,,,,,,5,C8,0.573,5.8,-9.5,,,14.9,42.4,2.8,,x
41229-700,Large,Carnivore,Canis,lupus,Canis,lupus,13406,TMM,Hall's Cave,010-015,,,1458,,Holocene,1,D9,0.586,10.4,-9.4,,,15.3,42.4,2.8,,x
41229-1362,Large,Herbivore,Bison,antiguus,Bison,antiguus,579255,TMM,Halls Cave,,Pleistocene,14977,14977,,Pleistocene,2,A4,0.28,10.4,-9.3,,,16.6,46.2,2.8,,x
908-816,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square B-C, 7-8",,,3000,,Holocene,5,H4,0.55,5.1,-9.3,,,15,43,2.9,,x
908-500,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square G-H, 7-8",Holocene,,3000,,Holocene,5,C11,0.524,5.5,-9.3,,,15.7,45.3,2.9,,x
908-1089,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 5?6, Square C-D, 5-6",,,7000,,Holocene,4,B9,0.552,5.6,-9.2,,,15.3,43.1,2.8,,x
1018-13,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,Sitter Ranch,,,,,,,5,C10,0.52,6.1,-9.2,,,13.6,40,2.9,,x
892-6K or 6A,Large,Herbivore,Bison,antiguus,Bison,antiguus,579255,TMM,Lubbock Lake,,NA,,,,,5,B4,0.551,6.3,-9,,,16.5,46.5,2.8,question mark removed from antiguus,x
892-6CK-Bison-1,Large,Herbivore,Bison,antiguus,Bison,antiguus,579255,TMM,Lubbock Lake,,NA,,,,,5,A7,0.525,7.6,-8.9,,,15.5,44.6,2.9,question mark removed from antiguus,x
933-5704,Large,Carnivore,Smilodon,floridanus,Smilodon,fatalis,400000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,6,B6,0.575,13.5,-8.8,,,8.9,27.7,3.1,,x
908-500,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square G-H, 7-8",Holocene,,3000,,Holocene,1,F4,0.581,5.7,-8.7,,,15.3,45.2,3,,x
933-3387,Large,Carnivore,Homotherium,serum,Homotherium,sp.,189000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,6,A3,0.51,14.3,-8.5,,,11.1,35.7,3.2,,x
908-3841,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,Test Pit 5,,,,,,5,E1,0.557,5.8,-8.5,,,15.1,43.8,2.9,,x
41229-10809,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Halls Cave,NA,NA,,,,,1,H8,0.561,9.7,-8.3,,,16.5,45.5,2.8,,x
908-3465,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Kincaid Shelter,"Test Pit 4, #514",,,,,,4,D12,0.537,10.5,-8.3,,,15.7,45.4,2.9,,x
892-6CK-Bison-2,Large,Herbivore,Bison,antiguus,Bison,antiguus,579255,TMM,Lubbock Lake,,NA,,,,,5,A12,0.516,7.9,-8.3,,,16.3,45.7,2.8,question mark removed from antiguus,x
1018-75,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Sitter Ranch,no tag information associated with this specimen,,,,,,4,C8,0.558,7.5,-8.3,,,14,40.8,2.9,,x
1018-70,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,Sitter Ranch,,,,,,,4,C9,0.523,6.3,-8.2,,,14.7,41.6,2.8,,x
892-218,Large,Herbivore,Bison,bison,Bison,bison,579255,TMM,Lubbock Lake,Zone 5,NA,,7000,,Holocene,5,A6,0.564,7.7,-8.1,,,14.5,43.1,3,,x
41229-3768,Large,Herbivore,Bovidae?,,,,579255,TMM,Halls Cave,NA,Pleistocene,14858.5,14858.5,,Pleistocene,1,H4,0.544,7.6,-7.8,,,14.6,40.1,2.8,,x
30967-808,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,Pleistocene,,30000,,Pleistocene,,,,,-7.7,-0.9,,,,2.9,,NA
41229-3575,Large,Carnivore,Canis,cf. latrans,Canis,latrans,13406,TMM,Hall's Cave,045-050,,,3434,,Holocene,1,C7,0.457,11.7,-7.7,,,15.2,42.1,2.8,,x
30967-224,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,,Pleistocene,,30000,,Pleistocene,,,,,-7.6,-0.8,,,,2.9,,NA
933-3499,Large,Carnivore,Ursus,americanus,Ursus,americanus,99949,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,F10,0.565,NA,-6.1,,,bdl,6.4,NA,,x
43067-101,Large,Herbivore,Mammuthus,columbi,Mammuthus,sp.,10800000,TMM,Avenue Site,,,,15000,,Pleistocene,5,C6,0.594,NA,NA,,,bdl,1.2,NA,,x
43067-37,Large,Herbivore,Mammuthus,,Mammuthus,sp.,10800000,TMM,Avenue Site,Area B,,,15000,,Pleistocene,5,C3,0.563,NA,NA,,,bdl,1.4,NA,,x
1295-1,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Clamp Cave,,,,20000,,Pleistocene,1,F7,0.162,NA,NA,,,4,19.9,5,,x
1295-8,Small,Carnivore,Vulpes,sp.,Vulpes,sp.,4132,TMM,Clamp Cave,,,,20000,,Pleistocene,1,F10,0.131,NA,NA,,,2.5,15.6,6.2,,x
1295-2,Small,Carnivore,Vulpes,sp.,Vulpes,sp.,4132,TMM,Clamp Cave,,,,20000,,Pleistocene,1,F9,0.045,NA,NA,,,3,18,6,,x
933-2084,Large,Carnivore,Homotherium,serum,Homotherium,sp.,189000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,4,B10,0.521,NA,NA,,,bdl,2.2,NA,,x
933-3934,Large,Carnivore,Homotherium,serum,Homotherium,sp.,189000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,G8,0.538,NA,NA,,,bdl,1.3,NA,,x
933-2149,Large,Carnivore,Homotherium,serum,Homotherium,sp.,189000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,H11,0.586,NA,NA,,,0.3,2.9,10,,x
933-2690,Large,Carnivore,Smilodon,floridanus,Smilodon,fatalis,400000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,G11,0.584,NA,NA,,,bdl,2.4,NA,,x
933-2506,Large,Carnivore,Smilodon,floridanus,Smilodon,fatalis,400000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,H1,0.569,NA,NA,,,bdl,2.2,NA,,x
933-3339,Large,Carnivore,Smilodon,floridanus,Smilodon,fatalis,400000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,H9,0.56,NA,NA,,,bdl,1,NA,,x
933-2206,Large,Carnivore,Smilodon,floridanus,Smilodon,fatalis,400000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,6,B8,0.51,NA,NA,,,bdl,2.1,NA,,x
933-898,Large,Carnivore,Smilodon,sp.,Smilodon,sp.,400000,TMM,Friesenhahn cave,,,,21000,,Pleistocene,5,E6,0.514,NA,NA,,,bdl,1.2,NA,,x
933-898,Large,Carnivore,Smilodon,sp.,Smilodon,sp.,400000,TMM,Friesenhahn cave,,,,21000,,Pleistocene,5,E6,0.514,NA,NA,,,bdl,1.2,NA,,x
933-2544,Large,Carnivore,Ursus,americanus,Ursus,americanus,99949,TMM,Friesenhahn Cave,NA,Pleistocene,21000,21000,From Toomey: 21ka,Pleistocene,1,B6,0.517,NA,NA,,,bdl,1.8,na,,x
30967-1230,Large,Herbivore,Bison,antiguus,Bison,antiguus,579255,TMM,Ingleside,,Pleistocene,,30000,,Pleistocene,5,C7,0.511,NA,NA,,,bdl,2.5,na,,x
30967-172,Large,Carnivore,Canis,dirus,Canis,dirus,65000,TMM,Ingleside,"Rancholabrean, Pleistocene ",,,30000,,Pleistocene,6,A7,0.525,NA,NA,,,bdl,2.5,NA,,x
30967-106,Large,Herbivore,Odocoileus,sp.,Odocoileus,sp.,55509,TMM,Ingleside,Late Pleistocene (Pit #1),Pleistocene,,30000,,Pleistocene,5,B12,0.522,NA,NA,,,bdl,3.1,na,,x
30967-1778,Large,Herbivore,Paleolama,mirifica,Paleolama,mirifica,223000,TMM,Ingleside,,Pleistocene,,30000,,Pleistocene,5,B10,0.568,NA,NA,,,bdl,1.8,na,,x
908-938,Large,Herbivore,Antilocapra,americana,Antilocapra,americana,46083,TMM,Kincaid Shelter,"Zone 5?6, Square C-D, 1-2, #227",,,7000,,Holocene,6,B9,0.576,NA,NA,,,0.9,4.7,5.1,,x
908-2393,Large,Herbivore,Camelops,,Camelops,sp.,1100000,TMM,Kincaid Shelter,"Zone 3, Square B-C, 2-3",,,13000,,Pleistocene,6,B10,0.14,NA,NA,,,bdl,5.2,NA,,x
908-2429,Large,Carnivore,Canis,dirus,Canis,dirus,65000,TMM,Kincaid Shelter,"Zone 3, Square A-G, 1-2",,,13000,,Pleistocene,4,D5,0.545,NA,NA,,,bdl,3.2,NA,,x
908-4267,Large,Carnivore,Canis,familiaris/latrans,Canis,familiaris/latrans,13406,TMM,Kincaid Shelter,#370,,,,,,4,A10,0.551,NA,NA,,,0.4,5.1,13.1,,x
908-4300,Large,Carnivore,Canis,sp.,Canis,sp.,,TMM,Kincaid Shelter,Disturbed Fill,,,,,,5,D5,0.423,NA,NA,,,0.4,5.1,12.9,,x
908-2334,Large,Herbivore,Equus,,Equus,sp.,400000,TMM,Kincaid Shelter,"Zone 3, Square A-B, 3-4",,,13000,,Pleistocene,5,G5,0.506,NA,NA,,,bdl,1.8,NA,,x
908-2364,Large,Herbivore,Equus,,Equus,sp.,400000,TMM,Kincaid Shelter,"Zone 3, Square B-C, 2-3",,,13000,,Pleistocene,4,G1,0.514,NA,NA,,,bdl,2.1,NA,,x
908-2398,Large,Herbivore,Equus,,Equus,sp.,400000,TMM,Kincaid Shelter,"Zone 3, Square B-C, 2-3",,,13000,,Pleistocene,5,C2,0.57,NA,NA,,,bdl,2.2,NA,,x
908-1080,Large,Herbivore,Odocoileus,sp.,Odocoileus,sp.,55509,TMM,Kincaid Shelter,zone 5?6,Holocene,,7000,,Holocene,2,A8,0.284,NA,NA,,,bdl,4.7,na,,x
908-2418,Large,Carnivore,Panthera,leo atrox,Panthera,leo atrox,433200,TMM,Kincaid Shelter,"Zone 3, Square B-C, 3-4",,,13000,,Pleistocene,5,E11,0.529,NA,NA,,,bdl,2,NA,,x
908-2304,Large,Herbivore,Paramylodon,harlani,Paramylodon,harlani,,TMM,Kincaid Shelter,"Zone 3, Square A-B, 1-2",,,13000,,Pleistocene,6,A10,0.575,NA,NA,,,bdl,1.8,NA,,x
908-2443,Large,Herbivore,Proboscidea,,Proboscidea,,,TMM,Kincaid Shelter,"Zone 4, Square C-D, 1-2",,,11000,,Pleistocene,5,G2,0.528,NA,NA,,,bdl,1.5,NA,,x
908-3622,Small,Carnivore,Vulpes,sp.,Vulpes,sp.,4132,TMM,Kincaid Shelter,"Zone 6, Square E-F, 2-3",,,3000,,Holocene,4,F9,0.596,NA,NA,,,bdl,1.3,NA,,x
40673-52,Large,Carnivore,Panthera,onca,Panthera,onca,100000,TMM,Laubach 1,"Core Hole Cave. Second Level of Cave. Pleistocene, Wisconson. ",,,,,,6,A2,0.52,NA,NA,,,bdl,2.5,NA,,x
892-,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Lubbock Lake,,,,,,,5,D8,0.55,NA,NA,,,bdl,3.3,NA,,x
908-2899,,NA,NA,,,,,TMM,NA,NA,,,,,,4,B7,0.584,NA,NA,,,bdl,3.3,NA,,x
40685-773,Large,Carnivore,Canis,latrans,Canis,latrans,13406,TMM,Zesch Cave,Pleistocene,,,30000,,Pleistocene,1,E4,0.559,NA,NA,,,bdl,1.3,na,,x
SMP-60670,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Clear Creek,,,,28840,,Pleistocene,,,,,-9.2,-2.4,27.18,,,0,,Koch.2004
SMP-60670,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Clear Creek,,,,28840,,Pleistocene,,,,,-7.92,-1.12,27.81,,,0,,Koch.2004
SMP-60382ms,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Clear Creek,,,,28840,,Pleistocene,,,,,-12.68,-5.88,29.55,,,0,,Koch.2004
SMP-60531,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Clear Creek,,,,28840,,Pleistocene,,,,,-12.11,-5.31,30.37,,,0,,Koch.2004
SMP-60827,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Clear Creek,,,,28840,,Pleistocene,,,,,-13.89,-7.09,27.79,,,0,,Koch.2004
SMP-60840,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Clear Creek,,,,28840,,Pleistocene,,,,,-11.54,-4.74,32.28,,,0,,Koch.2004
SMP-60292,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Coppell,,,,30000,,Pleistocene,,,,,-11.12,-4.32,29.91,,,0,,Koch.2004
SMP-60442,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Coppell,,,,30000,,Pleistocene,,,,,-11.38,-4.58,30.57,,,0,,Koch.2004
TMM-30907-13,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Leo.Boatright.Pit,,,,30000,,Pleistocene,,,,,-8.66,-1.86,28.72,,,0,,Koch.2004
TMM-30907-33,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Leo.Boatright.Pit,,,,30000,,Pleistocene,,,,,-7.28,-0.48,29.49,,,0,,Koch.2004
TMM-30907-10,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Leo.Boatright.Pit,,,,30000,,Pleistocene,,,,,-9.57,-2.77,28.68,,,0,,Koch.2004
TMM-30907-29,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Leo.Boatright.Pit,,,,30000,,Pleistocene,,,,,-9.81,-3.01,30.35,,,0,,Koch.2004
TMM-30907-40,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Leo.Boatright.Pit,,,,30000,,Pleistocene,,,,,-9.12,-2.32,28.58,,,0,,Koch.2004
TMM-30907-79,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Leo.Boatright.Pit,,,,30000,,Pleistocene,,,,,-13.81,-7.01,26.73,,,0,,Koch.2004
MSU-uncat.,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,MSU,Easely.Ranch,,,,30000,,Pleistocene,,,,,-7.58,-0.78,30.18,,,0,,Koch.2004
MSU-1984,Large,Herbivore,Equus,sp.,Equus,sp.,400000,MSU,Easely.Ranch,,,,30000,,Pleistocene,,,,,-10.86,-4.06,28.29,,,0,,Koch.2004
MSU-1995,Large,Herbivore,Equus,sp.,Equus,sp.,400000,MSU,Easely.Ranch,,,,30000,,Pleistocene,,,,,-8.06,-1.26,28.65,,,0,,Koch.2004
MSU-2000,Large,Herbivore,Equus,sp.,Equus,sp.,400000,MSU,Easely.Ranch,,,,30000,,Pleistocene,,,,,-9.93,-3.13,29.22,,,0,,Koch.2004
SMP-60178,Large,Herbivore,Bison,sp.,Bison,sp.,579255,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-8.86,-2.06,27.93,,,0,,Koch.2004
SMP-60608,Large,Herbivore,Bison,sp.,Bison,sp.,579255,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-10.19,-3.39,26.24,,,0,,Koch.2004
SMP-60849,Large,Herbivore,Bison,sp.,Bison,sp.,579255,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-8.08,-1.28,28.43,,,0,,Koch.2004
SMP-60345,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-9,-2.2,29.12,,,0,,Koch.2004
SMP-60351,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-8.09,-1.29,29.67,,,0,,Koch.2004
SMP-60844,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-10.02,-3.22,28.33,,,0,,Koch.2004
SMP-62287,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-8.5,-1.7,29.71,,,0,,Koch.2004
SMP-62357,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-9.5,-2.7,28.22,,,0,,Koch.2004
SMP-62358,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-10.71,-3.91,28.52,,,0,,Koch.2004
SMP-62359,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-10.39,-3.59,28.52,,,0,,Koch.2004
SMP-70153,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-9.13,-2.33,29.06,,,0,,Koch.2004
SMP-70161,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-10.18,-3.38,27.6,,,0,,Koch.2004
SMP-60124,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-13.26,-6.46,28.69,,,0,,Koch.2004
SMP-60130,Large,Herbivore,Equus,midlandensis,Equus,sp.,400000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-10.73,-3.93,31.98,,,0,,Koch.2004
SMP-60188,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-14.24,-7.44,30.82,,,0,,Koch.2004
SMP-60240,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-11.76,-4.96,30.15,,,0,,Koch.2004
SMP-60855,Large,Herbivore,Equus,sp.,Equus,sp.,400000,SMP,Moore.Pit,,,,30000,,Pleistocene,,,,,-11.73,-4.93,30.17,,,0,,Koch.2004
TMM-30967-694,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.52,-0.72,29.93,,,0,,Koch.2004
TMM-30967-930,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-6.38,0.42,31.85,,,0,,Koch.2004
TMM-30967-1638,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.77,-1.97,30.12,,,0,,Koch.2004
TMM-30967-1662,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.63,-0.83,31.76,,,0,,Koch.2004
TMM-30967-2473,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.52,-0.72,29.36,,,0,,Koch.2004
TMM-30967-2481,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-5.65,1.15,30.02,,,0,,Koch.2004
TMM-30967-148,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-9.39,-2.59,29.97,,,0,,Koch.2004
TMM-30967-165,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.44,-1.64,30.09,,,0,,Koch.2004
TMM-30967-500,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.15,-1.35,30.39,,,0,,Koch.2004
TMM-30967-679,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.63,-0.83,30.11,,,0,,Koch.2004
TMM-30967-1214,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.75,-0.95,29.87,,,0,,Koch.2004
TMM-30967-1724,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.9,-1.1,29.93,,,0,,Koch.2004
TMM-30967-1787,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.9,-1.1,28.03,,,0,,Koch.2004
TMM-30967-1818,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-9.05,-2.25,28.55,,,0,,Koch.2004
TMM-30967-241,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-10.49,-3.69,34.27,,,0,,Koch.2004
TMM-30967-312,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.95,-2.15,29,,,0,,Koch.2004
TMM-30967-379,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.8,-1,28.36,,,0,,Koch.2004
TMM-30967-948,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-9.52,-2.72,28.27,,,0,,Koch.2004
TMM-30967-1642,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-9.58,-2.78,28.74,,,0,,Koch.2004
TMM-30967-1870,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-10.25,-3.45,30.89,,,0,,Koch.2004
TMM-30967-2230,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.03,-1.23,31.31,,,0,,Koch.2004
TMM-30967-2455,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.54,-0.74,29.65,,,0,,Koch.2004
TMM-30967-36,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.78,-0.98,28.99,,,0,,Koch.2004
TMM-30967-708,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.59,-1.79,28.43,,,0,,Koch.2004
TMM-30967-974,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-10.78,-3.98,28.28,,,0,,Koch.2004
TMM-30967-1051A,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-10.14,-3.34,26.75,,,0,,Koch.2004
TMM-30967-1051B,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-9.56,-2.76,26.97,,,0,,Koch.2004
TMM-30967-2223,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.41,-0.61,26.92,,,0,,Koch.2004
TMM-30967-242,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.09,-1.29,30.83,,,0,,Koch.2004
TMM-30967-376A,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.17,-1.37,29.1,,,0,,Koch.2004
TMM-30967-376B,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.49,-0.69,27.98,,,0,,Koch.2004
TMM-30967-376C,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.64,-0.84,29.83,,,0,,Koch.2004
TMM-30967-1487,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.52,-0.72,28.97,,,0,,Koch.2004
TMM-30967-1518,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.69,-0.89,30.27,,,0,,Koch.2004
TMM-30967-1540,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-10.16,-3.36,31.93,,,0,,Koch.2004
TMM-30967-2225,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-8.24,-1.44,30.37,,,0,,Koch.2004
TMM-30967-2226,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,TMM,Ingleside,,,,30000,,Pleistocene,,,,,-7.64,-0.84,27.62,,,0,,Koch.2004
TMM-30967-2229,Large,Herbivore,Equus,pacificus,Equus,sp.,400000,MSU,Ingleside,,,,30000,,Pleistocene,,,,,-8.05,-1.25,30.36,,,0,,Koch.2004
MSU-2036,Large,Herbivore,Equus,sp.,Equus,sp.,400000,MSU,Quitaque Creek,,,,40000,,Pleistocene,,,,,-8.17,-1.37,27.05,,,0,,Koch.2004
MSU-2819,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Quitaque Creek,,,,40000,,Pleistocene,,,,,-9.32,-2.52,27.7,,,0,,Koch.2004
TMM-31030-2A,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Valley Farms,,,,30000,,Pleistocene,,,,,-6.79,0.01,30.26,,,0,,Koch.2004
TMM-31030-2B,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Valley Farms,,,,30000,,Pleistocene,,,,,-8.13,-1.33,27.96,,,0,,Koch.2004
TMM-31030-3,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Valley Farms,,,,30000,,Pleistocene,,,,,-14.36,-7.56,26.19,,,0,,Koch.2004
TMM-31030-8,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Valley Farms,,,,30000,,Pleistocene,,,,,-9.9,-3.1,28.04,,,0,,Koch.2004
