Sample.ID,Sample.ID2,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Latitude,Longitude ,Level.Age,Age,age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
TMM-30967-379,30967-379,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,27.87,-97.2,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-7.8,-1,28.36,,,0,,Koch.2004
TMM-30967-500,30967-500,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,27.87,-97.2,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-8.15,-1.35,30.39,,,0,,Koch.2004
TMM-30967-679,30967-679,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Ingleside,27.87,-97.2,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-7.63,-0.83,30.11,,,0,,Koch.2004
TMM-30967-694,30967-694,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,27.87,-97.2,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-7.52,-0.72,29.93,,,0,,Koch.2004
TMM-30967-708,30967-708,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,27.87,-97.2,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-8.59,-1.79,28.43,,,0,,Koch.2004
TMM-30967-930,30967-930,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Ingleside,27.87,-97.2,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-6.38,0.42,31.85,,,0,,Koch.2004
TMM-30967-948,30967-948,Large,Herbivore,Equus,complicatus,Equus,sp.,400000,TMM,Ingleside,27.87,-97.2,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-9.52,-2.72,28.27,,,0,,Koch.2004
TMM-30967-974,30967-974,Large,Herbivore,Equus,fraternus,Equus,sp.,400000,TMM,Ingleside,27.87,-97.2,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-10.78,-3.98,28.28,,,0,,Koch.2004
TMM-31030-27,31030-27,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Valley Farms,,,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-12.66,-5.86,28.28,,,0,,Koch.2004
TMM-31030-28,31030-28,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Valley Farms,,,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-13.69,-6.89,31.07,,,0,,Koch.2004
TMM-31030-2A,31030-2A,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Valley Farms,,,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-6.79,0.01,30.26,,,0,,Koch.2004
TMM-31030-2B,31030-2B,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Valley Farms,,,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-8.13,-1.33,27.96,,,0,,Koch.2004
TMM-31030-3,31030-3,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Valley Farms,,,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-14.36,-7.56,26.19,,,0,,Koch.2004
TMM-31030-8,31030-8,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Valley Farms,,,,,,30000,,Pleistocene,Pre-Extinction,Extinct,,,,,-9.9,-3.1,28.04,,,0,,Koch.2004
TMM-40450-585,40450-585,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Cave Without A Name,29.88,-98.62,,,,13000,,Pleistocene,Pre-Extinction,Extinct,,,,,-10.61,-3.81,28.02,,,0,,Koch.2004
TMM-40722-1,40722-1,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Laubach Cave,30.6166,-97.6166,,,,19540,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-9.84,-3.04,30.22,,,0,,Koch.2004
TMM-40806-37,40806-37,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Bonfire Shelter,29.82,-101.55,,,,10100,,Holocene,Post-Extinction,Survivor,,,,,-7.01,-0.21,28.53,,,0,,Koch.2004
TMM-40806-433,40806-433,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Bonfire Shelter,29.82,-101.55,,,,10100,,Holocene,Post-Extinction,Extinct,,,,,-9.64,-2.84,29.5,,,0,,Koch.2004
TMM-40806-496,40806-496,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Bonfire Shelter,29.82,-101.55,,,,10100,,Holocene,Post-Extinction,Survivor,,,,,-6.06,0.74,26.26,,,0,,Koch.2004
TMM-43067-29,43067-29,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Congress Avenue,30.25,-97.75,,,,17220,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-11.5,-4.7,29.58,,,0,,Koch.2004
TMM-43067-37,43067-37,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Congress Avenue,30.25,-97.75,,,,17220,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-7.78,-0.98,28.72,,,0,,Koch.2004
TMM-43067-62,43067-62,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Congress Avenue,30.25,-97.75,,,,17220,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-10.68,-3.88,27.83,,,0,,Koch.2004
TMM-908-2408,908-2408,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Kincaid Shelter,29.37,-99.47,,,,13000,,Pleistocene,Pre-Extinction,Extinct,,,,,-8.64,-1.84,30.07,,,0,,Koch.2004
TMM-908-2422,908-2422,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Kincaid Shelter,29.37,-99.47,,,,13000,,Pleistocene,Pre-Extinction,Extinct,,,,,-12.24,-5.44,24.95,,,0,,Koch.2004
TMM-908-2436,908-2436,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Kincaid Shelter,29.37,-99.47,,,,13000,,Pleistocene,Pre-Extinction,Extinct,,,,,-9.11,-2.31,31.02,,,0,,Koch.2004
TMM-933-1006,933-1006,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-6.86,-0.06,29.87,,,0,,Koch.2004
