Sample.ID,Sample.ID2,Size,Diet,Genus,Species,Genus.modif,Species.modif,Group,Body size,Museum.ID,Site.Name,Latitude,Longitude ,Cluster,Cluster.2,Level.Age,Age,age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Trophic level,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,d.180.enamelVPD,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication,Amino Acid 
908-4199,908-4199,Large,Herbivore,Antilocapra,,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,NA,NA,,,,,,Survivor,Post extinction herb,1,F8,0.6,8.7,-18.5,,,,15.6,44.6,2.9,,x,
908-4201,908-4201,Large,Herbivore,Antilocapra,,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,previously numbered -3,NA,,,,,,Survivor,Post extinction herb,2,B7,0.292,6.4,-18.7,,,,17,47.2,2.8,,x,
908-2209,908-2209,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square B-C, 2-3",,,13000,,Pleistocene,Post-Extinction,Survivor,Post extinction herb,,,,,-19.3,-12.5,,0.5,,,0,,x,
908-938,908-938,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 5?6, Square C-D, 1-2, #227",,,7000,,Holocene,Post-Extinction,Survivor,Post extinction herb,6,B9,0.576,NA,NA,,,,0.9,4.7,5.1,,x,
908-3829,908-3829,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 5?6, Square C-D, 5-6",Holocene,,7000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,A9,0.532,7.4,-19,,,,15.7,45.8,2.9,,x,
908-3439,908-3439,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 5?6, Square C-D, 7-8",,,7000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,H12,0.529,6,-19.4,,,,14.9,43.7,2.9,,x,
908-121,908-121,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 5-6",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,F1,0.55,6.1,-19.5,,,,15.3,43.9,2.9,,x,
908-180,908-180,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 6-7",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,B1,0.558,5.8,-19.8,,,,15.9,45,2.8,,x,
908-335,908-335,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-B, 8-9",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,F9,0.579,6,-19.9,,,,15.4,43.8,2.8,,x,
908-3745,908-3745,Large,Herbivore,Antilocapra,,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-G, 6-7",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,D8,0.54,7,-19.9,,,,15.8,44.7,2.8,,x,
908-2017,908-2017,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square A-G, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,F10,0.514,6.5,-18.9,,,,15.7,44.7,2.8,,x,
908-833,908-833,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square B-C, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,C11,0.516,6.2,-19.7,,,,15.8,44.7,2.8,,x,
908-835,908-835,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square B-C, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,D4,0.508,5.5,-19.9,,,,14.8,43.4,2.9,,x,
908-3432,908-3432,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square C-D, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,E12,0.6,6.5,-19.3,,,,15.1,43.9,2.9,,x,
908-1413,908-1413,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square E-F, 2-3",Holocene,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,A10,0.562,5.8,-19.9,,,,16.4,47,2.9,,x,
908-1569,908-1569,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square E-F, 4-5, #229",,,3000,,Holocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-17.58,-10.78,33.43,2.493064044,,,0,,Uark,
908-3689,908-3689,Large,Herbivore,Antilocapra,,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square E-F, 7-8",,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,G4,0.523,6.1,-13.4,,,,14.2,40.3,2.8,,x,
908-2249,908-2249,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 6, Square J-K, 3-4",Holocene,,3000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,B3,0.57,6.1,-19.8,,,,15.8,45.5,2.9,,x,
908-2182,908-2182,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone Unknown, Square G-H, 4-5",,,,,,,Survivor,Post extinction herb,5,G6,0.519,6.9,-19.1,,,,15.4,43.6,2.8,,x,
908-547,908-547,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,,,,,,,,Survivor,Post extinction herb,,,,,-12.3,-5.5,,-2.3,,,0,,x,
40541-110,40541-110,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Starveout Cave,,,,,,,,,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,E7,0.58,5.8,-18.9,,,,15.5,43.3,2.8,,x,
40541-112,40541-112,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Starveout Cave,,,,,,,,,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,A8,0.594,5.2,-18.1,,,,15.8,43.6,2.8,,x,
40541-1232,40541-1232,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Starveout Cave,,,,,,,,,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,D4,0.561,5,-19.1,,,,15.9,44.8,2.8,,x,
40541-1233,40541-1233,Large,Herbivore,Antilocapra,americana,Antilocapra,amer,Antilocapra,46083,TMM,Starveout Cave,,,,,,,,,,Holocene,Post-Extinction,Survivor,Post extinction herb,4,C6,0.516,7.9,-19.5,,,,15.9,44.4,2.8,,x,
933-2156,933-2156,Large,Carnivore,Arctodus,simus,Arctodus,simus,Ursidae,720000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,NA,Pleistocene,21000,18500,From Toomey: 21ka,Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,1,F11,0.477,7.6,-17.3,,,,8.8,30.9,3.5,,x,
933-2963,933-2963,Large,Carnivore,Arctodus,simus,Arctodus,simus,Ursidae,720000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,,,18500,,Pleistocene,Pre-Extinction,Extinct,Pre extinction carn,5,F7,0.49,9.7,-16.5,,,,9.3,31.2,3.3,,x,
30967-481,30967-481,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,lm3,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-5.7,1.1,30,-0.834,,,0,,Yann et al 2016,
30967-638,30967-638,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,m3,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.8,-2,30.1,-0.737,,,0,,Yann et al 2016,
30967-473,30967-473,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,M3,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.5,-0.7,29.4,-1.416,,,0,,Yann et al 2016,
30967-662,30967-662,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,molar,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.6,-0.8,31.8,0.912,,,0,,Yann et al 2016,
30967-39,30967-39,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,P4,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-6.3,0.5,31.4,0.524,,,0,,Yann et al 2016,
30967-939,30967-939,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,P4,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-5.9,0.9,32.9,1.979,,,0,,Yann et al 2016,
30967-110,30967-110,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,P4,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-5,1.8,31.8,0.912,,,0,,Yann et al 2016,
TMM-30967-694,30967-694,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.52,-0.72,29.93,-0.9,,,0,,Koch.2004,
TMM-30967-930,30967-930,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-6.38,0.42,31.85,0.96,,,0,,Koch.2004,
30967-1230,30967-1230,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,Pleistocene,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,C7,0.511,NA,NA,,,,bdl,2.5,100,,x,
892-6CK-Bison-2,892-6CK-Bison-2,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Lubbock Lake,33.62,-101.89,Cluster 4,Cluster 3,,NA,,,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,A12,0.516,7.9,-8.3,,,,16.3,45.7,2.8,question mark removed from antiguus,x,
892-6K or 6A,892-6K or 6A,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Lubbock Lake,33.62,-101.89,Cluster 4,Cluster 3,,NA,,,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,B4,0.551,6.3,-9,,,,16.5,46.5,2.8,question mark removed from antiguus,x,
892-6CK-Bison-1,892-6CK-Bison-1,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Lubbock Lake,33.62,-101.89,Cluster 4,Cluster 3,,NA,,,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,A7,0.525,7.6,-8.9,,,,15.5,44.6,2.9,question mark removed from antiguus,x,
41229-10803,41229-10803,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Hall's Cave,30.13,-99.54,,Cluster 4,NA,Pleistocene,21577,21577,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,1,H7,0.523,7,-12.3,,,,13.5,38.3,2.8,,x,X
41229-1362,41229-1362,Large,Herbivore,Bison,antiquus,Bison,antiguus,Bison,579255,TMM,Hall's Cave,30.13,-99.54,,Cluster 4,,Pleistocene,14977,14977,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,2,A4,0.28,10.4,-9.3,,,,16.6,46.2,2.8,,x,
SMP-61893,SMP-61893,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,SMP,Keller Springs,32.966667,-96.8,Cluster 2,Cluster 1,,,,,,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-6.64,0.16,26.7,-4.04,,,0,,Koch.2004,
BDM-9816a,BDM-9816a,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-8.1,-1.3,26.4,-4.33,,,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-6.5,0.3,26.8,-3.94,,,0,,Koch.2004,
892-218,892-218,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,TMM,Lubbock Lake,33.62,-101.89,Cluster 4,Cluster 3,Zone 5,NA,,7000,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,A6,0.564,7.7,-8.1,,,,14.5,43.1,3,,x,
892-484,892-484,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,TMM,Lubbock Lake,33.62,-101.89,Cluster 4,Cluster 3,,NA,,,,,,Survivor,,5,C3,0.565,NA,-27.3,,,,0.7,17,24.1,,x,
45817-1,45817-1,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,TMM,77 Ranch,,,,,,,,,,Holocene,Post-Extinction,Survivor,Post extinction herb,5,C4,0.536,6,-12.8,,,,14,42,3,,x,
1018-13,1018-13,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,TMM,Sitter Ranch,35,-100.5,,Cluster 3,,,,,,,,Survivor,,5,C10,0.52,6.1,-9.2,,,(AC35-30.86)/1.03086,13.6,40,2.9,,x,
1018-70,1018-70,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,TMM,Sitter Ranch,35,-100.5,,Cluster 3,,,,,,,,Survivor,,4,C9,0.523,6.3,-8.2,,,,14.7,41.6,2.8,,x,
1018-71,1018-71,Large,Herbivore,Bison,bison,Bison,bison,Bison,579255,TMM,Sitter Ranch,35,-100.5,,Cluster 3,,,,,,,,Survivor,,4,D9,0.595,6.3,-10.1,,,,14.1,43.1,3.1,,x,
892-270,892-270,Large,Herbivore,Bison,latifrans,Bison,latifrans,Bison,900000,TMM,Lubbock Lake,33.62,-101.89,Cluster 4,Cluster 3,Zone 5,,,7000,,Holocene,Post-Extinction,Extinct,Post extinction herb,5,H10,0.571,NA,-28,,,,bdl,48.2,100,question mark removed from antiguus,x,
1273-1,1273-1,Large,Herbivore,Bison,latifrans,Bison,latifrans,Bison,900000,TMM,,,,,,,Pleistocene,,,,,,Extinct,,5,D6,0.523,1,-27,,,,2.1,18.6,9,,x,
TMM-30907-13,30907-13,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Leo.Boatright.Pit,32.12,-96,Cluster 2,Cluster 1,,,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.66,-1.86,28.72,-2.08,,,0,,Koch.2004,
TMM-30907-33,30907-33,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Leo.Boatright.Pit,32.12,-96,Cluster 2,Cluster 1,,,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-7.28,-0.48,29.49,-1.33,,,0,,Koch.2004,
SMP-60608,SMP-60608,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-10.19,-3.39,26.24,-4.48,,,0,,Koch.2004,
SMP-60178,SMP-60178,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.86,-2.06,27.93,-2.84,,,0,,Koch.2004,
SMP-60849,SMP-60849,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.08,-1.28,28.43,-2.36,,,0,,Koch.2004,
TMM-31030-2B,31030-2B,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Valley Farms,32.25,-96.25,Cluster 2,Cluster 1,,,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.13,-1.33,27.96,-2.81,,,0,,Koch.2004,
TMM-31030-2A,31030-2A,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Valley Farms,32.25,-96.25,Cluster 2,Cluster 1,,,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-6.79,0.01,30.26,-0.58,,,0,,Koch.2004,
30967-110,30967-110,Large,Herbivore,Bison,,Bison,sp.,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene (Pit #1),,,50000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-6.2,0.6,28.38,-2.405758299,,,0,,Uark,
30967-39,30967-39,Large,Herbivore,Bison,,Bison,sp.,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene (Pit #1),,,50000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-7.09,-0.29,28.55,-2.240847448,,,0,,Uark,
TMM-30967-1638,30967-1638,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.77,-1.97,30.12,-0.72,,,0,,Koch.2004,
TMM-30967-1662,30967-1662,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.63,-0.83,31.76,0.87,,,0,,Koch.2004,
TMM-30967-2473,30967-2473,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.52,-0.72,29.36,-1.46,,,0,,Koch.2004,
TMM-30967-2481,30967-2481,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-5.65,1.15,30.02,-0.81,,,0,,Koch.2004,
30967-939,30967-939,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-6.8,0,,-1.6,,,0,,x,
30697-94,30697-94,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,Pleistocene,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,5,D5,0.564,4.4,-26.4,,,,4.5,35.4,7.8,,x,
937-589,937-589,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,Brackwater draw,NA,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,5,B5,0.539,NA,-27.8,,,,bdl,6.4,100,,x,
BDM-naa,BDM-naa,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-8.7,-1.9,20.8,-9.76,,,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-7.6,-0.8,28.1,-2.68,,,0,,Koch.2004,
BDM-814Aa,BDM-814Aa,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-6,0.8,24.8,-5.88,,,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-5.9,0.9,25.6,-5.1,,,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-5.9,0.9,29.7,-1.13,,,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-5,1.8,27.3,-3.45,,,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.1,-1.3,28,-2.77,,,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-6.4,0.4,26.2,-4.52,,,0,,Koch.2004,
BDM-9789a,BDM-9789a,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-5.7,1.1,25.2,-5.49,,,0,,Koch.2004,
TMM-937-907,937-907,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-5.4,1.4,28.14,-2.64,,,0,,Koch.2004,
937-492,937-492,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,NA,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,5,B6,0.589,NA,-28.2,,,,bdl,33.3,100,,x,
MSU-2825,MSU-2825,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,MSU,Howard Ranch,34.37,-99.75,Cluster 4,Cluster 3,,,,16775,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-4.01,2.79,30.83,-0.03,,,0,,Koch.2004,
892-,892-,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Lubbock Lake,33.62,-101.89,Cluster 4,Cluster 3,,,,,,,,,,5,D8,0.55,NA,NA,,,,bdl,3.3,100,,x,
TMM-40806-37,40806-37,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Bonfire Shelter,29.82,-101.55,Cluster 6,Cluster 4,,,,10100,,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-7.01,-0.21,28.53,-2.26,,,0,,Koch.2004,
TMM-40806-496,40806-496,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Bonfire Shelter,29.82,-101.55,Cluster 6,Cluster 4,,,,10100,,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-6.06,0.74,26.26,-4.46,,,0,,Koch.2004,
40450-2571,40450-2571,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,Area A,,,13000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-9.4,-2.6,,-5.9,,,0,,x,
40450-1975,40450-1975,Large,Herbivore,Bison,,Bison,sp.,Bison,579255,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,Late Pleistocene,,,13000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.81,-2.01,29.82,-1.008866383,,,0,,Uark,
40450-280,40450-280,Large,Herbivore,Bison,,Bison,sp.,Bison,579255,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,Late Pleistocene,,,13000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-10.93,-4.13,28.89,-1.911025745,,,0,,Uark,
40450-1619,40450-1619,Large,Herbivore,Bison,sp.,Bison,sp.,Bison,579255,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,Late Pleistocene,Terminal.Pleistocene,13000,13000,assigned 13ka,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,5,D4,0.526,10.2,-14.9,,,,14.3,42.9,3,,x,
