Taxa	Tooth ID	Strata	Element	Lower Age Range (ybp)	Upper Age Range (ybp)	Mean Age (ybp)	Take 1 (mm)	 Take 2 (mm)	 Take 3 (mm)	Tooth Mean	Tooth Stdev	> 5% deviation	Estimated Mass (g)	Standardized Mass (g)	D13C	 D15N 	%C	%N	C:N	Corrected D13C	use isotopes	Groups by ecography paper	groups by 19 levels	Notes	Strata d13C av	Strata d15N av		
Sigmodon hispidus	41229-997	010-015	LM1-RIGHT	1458	1787	1623	2.45		2.4	2.43	0.04	2.54	76.6	76.6	-15.4	5.1	40.5	14.0	2.9	-16.9	y	2	2					
Sigmodon hispidus	41229-6880	010-015	UM1-LEFT	1458	1787	1623	2.64	2.63		2.64	0.01	2.85	100.9	112.6	-15.4	5.6	43.6	15.1	2.9	-16.9	y	2	2					
Sigmodon hispidus	41229-7153	010-015	LM1-RIGHT	1458	1787	1623	2.17		2.17	2.17	0	2.02	53.0	53.0	-14.9	4.3	43.4	15.1	2.9	-16.4	y	2	2					
Sigmodon hispidus	41229-6879	010-015	UM1-LEFT	1458	1787	1623	2.34	2.38	2.38	2.37	0.02		70.7	78.9	-12.5	5.4	42.6	14.8	2.9	-14.0	y	2	2					
Sigmodon hispidus	41229-996	010-015	LM1-RIGHT	1458	1787	1623	2.31	2.31		2.31	0	2.2	65.2	65.2	-12.0	5.0	44.1	15.6	2.8	-13.5	y	2	2		-17.0	6.6		
Sigmodon hispidus	41229-4793	010-015	UM1-LEFT	1458	1787	1623	2.52	2.56		2.54	0.03	2.69	89.3	99.6								2	2					
Sigmodon hispidus	41229-4830	010-015	UM1-LEFT	1458	1787	1623	2.63	2.55		2.59	0.06	2.38	95.3	106.3								2	2					
Sigmodon hispidus	41229-7398	010-015	UM1-RIGHT	1458	1787	1623	2.78	2.79	2.75	2.77	0.02		119.5	133.3								2	2		-17.6	4.9		
Onychomys leucogaster	41229-4812	010-015	LM1-LEFT	1458	1787	1623						1.884	33.442571									2						
Onychomys leucogaster	41229-4814	010-015	LM1-RIGHT	1458	1787	1623						1.760	26.65316237									2						
Onychomys leucogaster	41229-4820	010-015	no m1	1458	1787	1623																2						
Lepus californicus	41229-15084	010-015		1458	1787	1623																2						
Sigmodon hispidus	41229-10238	015-020	UM1-RIGHT	1787	2116	1952	2.39		2.32	2.36	0.05	2.51	69.5	77.5	-17.7	5.4	43.3	14.8	2.9	-19.2	y	2	2					
Sigmodon hispidus	41229-10242	015-020		1787	2116	1952									-17.6	7.2	42.5	14.2	3.0	-19.1	y	2	2					
Sigmodon hispidus	41229-10237	015-020	LM1-RIGHT	1787	2116	1952	2.29	2.26	2.28	2.28	0.02		62.2	62.2	-15.4	5.0	40.1	13.8	2.9	-16.9	y	2	2					
Sigmodon hispidus	41229-10240	015-020		1787	2116	1952									-15.1	6.6	40.4	13.8	2.9	-16.6	y	2	2					
Sigmodon hispidus	41229-6976	015-020	LM1-LEFT	1787	2116	1952	2.58	2.53		2.56	0.04	2.44	91.1	91.1	-13.6	5.0	40.4	13.9	2.9	-15.1	y	2	2					
Sigmodon hispidus	41229-862	015-020		1787	2116	1952									-13.5	5.3	43.2	14.6	3.0	-15.0	y	2	2					
Sigmodon hispidus	41229-1280	015-020	UM1-RIGHT	1787	2116	1952	2.39	2.39		2.39	0	2.61	73.0	81.4	-12.4	5.5	43.5	14.8	2.9	-13.9	y	2	2					
Sigmodon hispidus	41229-10239	015-020	UM1-RIGHT	1787	2116	1952	2.39	2.43		2.41	0.03	2.29	75.1	83.8								2	2		NA	NA		
Onychomys leucogaster	41229-10473	015-020	LM1-RIGHT	1787	2116	1952						1.962	38.2843079									2						
Lepus californicus	41229-15085	015-020		1787	2116	1952																2						
Sigmodon hispidus	41229-8990	020-025	LM1-LEFT	2116	2446	2281		2.32	2.26	2.29	0.04	2.16	63.4	63.4	-17.6	4.9	44.1	15.4	2.9	-19.1	y	2	2					
Lepus californicus	41229-15087	020-025		2116	2446	2281																2						
Sigmodon hispidus	41229-1352	025-030	UM1-LEFT	2446	2775	2611	2.5	2.58		2.54	0.06		89.3	99.6	-17.0	6.6	42.2	14.8	2.9	-18.5	y	2	2					
Lepus californicus	41229-2876	025-030		2446	2775	2611									-16.2	4.5	42.4	15.7	2.7		y	2						
Lepus californicus	41229-1286	025-030		2446	2775	2611									-15.6	6.1	45.1	16.2	2.8		y	2						
Lepus californicus	41229-1600	025-030		2446	2775	2611									-14.9	4.2	43.8	15.8	2.8		y	2						
Lepus californicus	41229-2874	025-030		2446	2775	2611									-14.0	4.3	43.5	16.2	2.7		y	2						
Lepus californicus	41229-2875	025-030		2446	2775	2611									-11.5	5.6	44.1	15.3	2.9		y	2						
Onychomys leucogaster	41229-9295	025-030	UM1-LEFT	2446	2775	2611						2.039	43.52538654									2						
Lepus californicus	41229-1351	025-030		2446	2775	2611																2						
Lepus californicus	41229-1356	025-030		2446	2775	2611																2						
Lepus californicus	41229-2873	025-030		2446	2775	2611																2						
Lepus californicus	41229-8033	025-030		2446	2775	2611																2						
Lepus californicus	41229-9240	025-030		2446	2775	2611																2						
Lepus californicus	41229-9324	025-030		2446	2775	2611																2						
Lepus californicus	41229-10188	025-030		2446	2775	2611																2						
Lepus californicus	41229-10196	025-030		2446	2775	2611																2						
Lepus californicus	41229-10197	025-030		2446	2775	2611																2						
Lepus californicus	41229-15088	025-030		2446	2775	2611																2						
Lepus californicus	41229-15089	025-030		2446	2775	2611																2						
Sigmodon hispidus	41229-10021	030-035	LM1-LEFT	2775	3104	2940		2.46	2.42	2.44	0.03	2.35	78.2	78.2	-17.0	5.3	43.2	14.9	2.9	-18.5	y	2	3					
Sigmodon hispidus	41229-919	030-035	UM1-RIGHT	2775	3104	2940	2.59	2.57	2.57	2.58	0.01		93.7	104.5	-15.3	5.5	43.4	14.8	2.9	-16.8	y	2	3					
Sigmodon hispidus	41229-10020	030-035	UM1-RIGHT	2775	3104	2940	2.64	2.58	2.6	2.61	0.03		97.3	108.5								2	3					
Lepus californicus	41229-5293	030-035		2775	3104	2940																2						
Lepus californicus	41229-5302	030-035		2775	3104	2940																2						
Sigmodon hispidus	41229-39	030-045		2775	3763	3269									-19.5	4.5	43.6	14.8	2.9	-21.0	y	3	3					
Sigmodon hispidus	41229-40	030-045		2775	3763	3269									-11.9	6.6	43.5	15.1	2.9	-13.4	y	3	3					
Sigmodon hispidus	41229-7965	035-040		3104	3434	3269									-15.6	7.9	43.9	15.7	2.8	-17.1	y	3	3		-15.6	7.9		
Lepus californicus	41229-2893	035-040		3104	3434	3269																3						
Lepus californicus	41229-2894	035-040		3104	3434	3269																3						
Lepus californicus	41229-2897	035-040		3104	3434	3269																3						
Onychomys leucogaster	41229-7652	040-045	no m1	3434	3763	3599									-20.2	5.3	29.0	8.2	3.5		y	3						
Lepus californicus	41229-8096	040-045		3434	3763	3599									-16.1	5.2	45.3	15.8	2.9		y	3						
Onychomys leucogaster	41229-8078	040-045	no m1	3434	3763	3599									-13.4	9.1	25.3	8.6	2.9		y	3						
Sigmodon hispidus	41229-4086	040-045	LM1-LEFT	3434	3763	3599	2.54		2.48	2.51	0.04	2.65	85.9	85.9								3	3					
Lepus californicus	41229-931	040-045		3434	3763	3599																3						
Lepus californicus	41229-4096	040-045		3434	3763	3599																3						
Lepus californicus	41229-4097	040-045		3434	3763	3599																3						
Lepus californicus	41229-8092	040-045		3434	3763	3599																3						
Lepus californicus	41229-722	045-050		3763	4093	3928																3						
Lepus californicus	41229-723	045-050		3763	4093	3928																3						
Lepus californicus	41229-850	045-050		3763	4093	3928																3						
Lepus californicus	41229-855	045-050		3763	4093	3928																3						
Lepus californicus	41229-856	045-050		3763	4093	3928																3						
Lepus californicus	41229-857	045-050		3763	4093	3928																3						
Lepus californicus	41229-15146	045-050		3763	4093	3928																3						
Lepus californicus	41229-15147	045-050		3763	4093	3928																3						
Lepus californicus	41229-15148	045-050		3763	4093	3928																3						
Lepus californicus	41229-15149	045-050		3763	4093	3928																3						
Lepus californicus	41229-9805	050-055		4093	4422	4258									-18.5	3.8	45.0	16.3	2.8		y	3						
Onychomys leucogaster	41229-3571	050-055	LM1-LEFT	4093	4422	4258						1.832	30.46390781		-15.1	7.5	27.0	9.1	3.0		y	3						
Lepus californicus	41229-1290	050-055		4093	4422	4258									-12.9	4.6	42.8	15.6	2.7		y	3						
Onychomys leucogaster	41229-11975	055-060	LM1-RIGHT - broken	4422	4751	4587						1.699	23.69679192		-23.2		18.2	4.9	3.7		n	3						
Sigmodon hispidus	41229-14866	055-060	UM1-LEFT	4422	4751	4587		2.5	2.42	2.46	0.06	2.67	80.4	89.7	-18.7	7.0	44.2	15.0	2.9	-20.2	y	3	3		-21.9	7.1		
Sigmodon hispidus	41229-3988	055-060	LM1-LEFT	4422	4751	4587		2.5	2.53	2.52	0.02	2.38	86.5	86.5	-18.6	6.6	42.6	14.8	2.9	-20.1	y	3	3					
Lepus californicus	41229-15144	055-060		4422	4751	4587									-18.3	5.0	43.6	15.4	2.8		y	3						
Lepus californicus	41229-9514	055-060		4422	4751	4587									-14.3	4.6	45.2	16.1	2.8		y	3						
Lepus californicus	41229-15142	055-060		4422	4751	4587									-12.3	4.6	45.1	16.1	2.8		y	3						
Lepus californicus	41229-9512	055-060		4422	4751	4587																3						
Lepus californicus	41229-9513	055-060		4422	4751	4587																3						
Lepus californicus	41229-15131	055-060		4422	4751	4587																3						
Lepus californicus	41229-15132	055-060		4422	4751	4587																3						
Lepus californicus	41229-15140	055-060		4422	4751	4587																3						
Lepus californicus	41229-15141	055-060		4422	4751	4587																3						
Lepus californicus	41229-15143	055-060		4422	4751	4587																3						
Lepus californicus	41229-15145	055-060		4422	4751	4587																3						
Sigmodon hispidus	41229-14513	060-065		4751	5081	4916									-18.9	6.0	40.0	13.9	2.9	-20.4	y	4	4					
Onychomys leucogaster	41229-10732	060-065	UM1-RIGHT	4751	5081	4916						2.026	42.6073261		-17.8	8.4	25.5	8.5	3.0		y	4						
Onychomys leucogaster	41229-8174	060-065	no m1	4751	5081	4916									-17.7	7.7	16.2	5.4	3.0		y	4						
Sigmodon hispidus	41229-41527	060-065	UM1-RIGHT	4751	5081	4916		2.43	2.46	2.45	0.02	2.57	78.7	87.8	-17.3	6.2	40.7	14.0	2.9	-18.8	y	4	4					
Sigmodon hispidus	41229-41526	060-065	UM1-RIGHT	4751	5081	4916	2.3		2.28	2.29	0.01	2.23	63.4	70.7	-17.2	6.1	41.7	14.6	2.9	-18.7	y	4	4					
Sigmodon hispidus	41229-14510	060-065	LM1-RIGHT	4751	5081	4916		2.74	2.78	2.76	0.03	2.57	117.6	117.6	-17.0	7.3	37.8	13.1	2.9	-18.5	y	4	4					
Onychomys leucogaster	41229-10731	060-065	UM1-LEFT	4751	5081	4916						2.119	49.48225715		-16.8	6.5	17.2	5.5	3.1		y	4						
Onychomys leucogaster	41229-8173	060-065	no m1	4751	5081	4916									-16.7	7.7	31.8	10.8	2.9		y	4						
Sigmodon hispidus	41229-14512	060-065	LM1-RIGHT	4751	5081	4916	2.48			2.48			82.5	82.5	-16.2	7.5	30.8	10.8	2.9	-17.7	y	4	4		-16.7	6.6		
Onychomys leucogaster	41229-8172	060-065	LM1-LEFT	4751	5081	4916						1.744	25.85410112		-16.1	8.6	27.9	9.6	2.9		y	4						
Sigmodon hispidus	41229-14525	060-065	UM1-LEFT	4751	5081	4916	2.27	2.36	2.31	2.31	0.05		65.6	73.2	-15.1	6.6	42.8	15.1	2.8	-16.6	y	4	4					
Sigmodon hispidus	41229-14511	060-065	LM1-RIGHT	4751	5081	4916	1.81	1.97		1.89	0.11		33.6	33.6	-14.8	6.6	32.1	11.0	2.9	-16.3	y	4	4					
Sigmodon hispidus	41229-14867	060-065		4751	5081	4916									-13.8	6.5	39.8	13.8	2.9	-15.3	y	4	4					
Sigmodon hispidus	41229-14524	060-065	UM1-LEFT	4751	5081	4916	2.62	2.54	2.6	2.59	0.04		94.9	105.9	-13.3	6.9	42.7	15.2	2.8	-14.8	y	4	4					
Sigmodon hispidus	41229-14522	060-065	UM1-LEFT	4751	5081	4916		2.39	2.38	2.39	0.01	2.49	72.5	80.9	-12.4	7.1	42.1	15.0	2.8	-13.9	y	4	4					
Sigmodon hispidus	41229-14521	060-065	LM1-LEFT	4751	5081	4916	2.5	2.5	2.57	2.52	0.04		87.4	87.4	-11.6	7.3	42.5	15.1	2.8	-13.1	y	4	4					
Sigmodon hispidus	41229-14520	060-065	LM1-LEFT	4751	5081	4916		2.39	2.37	2.38	0.01	2.45	72.0	72.0								4	4					
Lepus californicus	41229-7135	060-065		4751	5081	4916																4						
Lepus californicus	41229-8156	060-065		4751	5081	4916																4						
Lepus californicus	41229-8184	060-065		4751	5081	4916																4						
Lepus californicus	41229-8185	060-065		4751	5081	4916																4						
Lepus californicus	41229-15133	060-065		4751	5081	4916																4						
Sigmodon hispidus	41229-74	060-075	LM1-LEFT	4751	5739	5245	2.6	2.61	2.59	2.60	0.01		96.5	96.5	-19.0	3.5	44.1	15.2	2.9	-20.5	y	4	4		-19.0	3.5		
Lepus californicus	41229-72	060-075		4751	5739	5245									-14.9	3.9	41.4	13.9	3.0		y	4						
Onychomys leucogaster	41229-3607	065-070	no m1	5081	5410	5246									-17.9	8.4	19.9	6.7	3.0		y	4						
Lepus californicus	41229-15090	065-070		5081	5410	5246									-16.6	3.1	44.8	16.2	2.8		y	4						
Lepus californicus	41229-7432	065-070		5081	5410	5246									-15.9	5.5	44.3	16.0	2.8		y	4						
Lepus californicus	41229-15091	065-070		5081	5410	5246									-15.7	4.0	40.3	14.6	2.8		y	4						
Sigmodon hispidus	41229-10195	065-070	UM1-LEFT	5081	5410	5246	2.4	2.39	2.46	2.42	0.04		75.8	84.6	-15.2	6.7	35.6	12.4	2.9	-16.7	y	4	4					
Onychomys leucogaster	41229-3606	065-070	no m1	5081	5410	5246									-14.5	7.4	30.3	9.5	3.2		y	4						
Lepus californicus	41229-7431	065-070		5081	5410	5246									-14.0	4.5	44.2	15.7	2.8		y	4						
Lepus californicus	41229-15092	065-070		5081	5410	5246									-12.7	6.1	43.3	15.1	2.9		y	4						
Sigmodon hispidus	41229-10194	065-070	UM1-RIGHT	5081	5410	5246		2.26	2.32	2.29	0.04	2.14	63.4	70.7								4	4					
Sigmodon hispidus	41229-15006	065-070	LM1-LEFT	5081	5410	5246	2.51	2.5	2.47	2.49	0.02		84.0	84.0								4	4					
Lepus californicus	41229-1051	065-070		5081	5410	5246																4						
Lepus californicus	41229-7433	065-070		5081	5410	5246																4						
Lepus californicus	41229-7434	065-070		5081	5410	5246																4						
Lepus californicus	41229-7435	065-070		5081	5410	5246																4						
Lepus californicus	41229-7444	065-070		5081	5410	5246																4						
Lepus californicus	41229-7446	065-070		5081	5410	5246																4						
Lepus californicus	41229-9413	065-070		5081	5410	5246																4						
Lepus californicus	41229-10128	065-070		5081	5410	5246																4						
Onychomys leucogaster	41229-7268	070-075	LM1-LEFT	5410	5739	5575						1.782	27.77988134		-23.8		21.7	3.2	6.7		n	4						
Sigmodon hispidus	41229-9904	070-075	UM1-RIGHT	5410	5739	5575		2.65	2.69	2.67	0.03	2.49	105.4	117.6	-16.4	6.2	41.9	14.6	2.9	-17.9	y	4	5					
Sigmodon hispidus	41229-879	070-075	LM1-LEFT	5410	5739	5575	2.58	2.72	2.66	2.65	0.07		103.2	103.2	-14.5	5.5	43.0	15.0	2.9	-16.0	y	4	5					
Sigmodon hispidus	41229-7216	070-075		5410	5739	5575									-14.1	7.0	41.6	14.3	2.9	-15.6	y	4	5		-15.0	6.2		
Lepus californicus	41229-7459	070-075		5410	5739	5575									-13.3	3.2	44.3	15.8	2.8		y	4						
Onychomys leucogaster	41229-5072	070-075	no m1	5410	5739	5575																4						
Onychomys leucogaster	41229-5073	070-075	LM1-RIGHT	5410	5739	5575						1.741	25.70616716									4						
Onychomys leucogaster	41229-5075	070-075	UM1-RIGHT	5410	5739	5575						1.693	23.41901715									4						
Onychomys leucogaster	41229-5076	070-075	UM1-RIGHT	5410	5739	5575						1.976	39.20242161									4						
Onychomys leucogaster	41229-7266	070-075	LM1-LEFT	5410	5739	5575						1.760	26.65316237				15.2	3.7	4.1			4						
Onychomys leucogaster	41229-7267	070-075	LM1-LEFT	5410	5739	5575						1.682	22.91569603									4						
