Taxa	Tooth ID	Strata	Element	Lower Age Range (ybp)	Upper Age Range (ybp)	Mean Age (ybp)	Take 1 (mm)	 Take 2 (mm)	 Take 3 (mm)	Tooth Mean	Tooth Stdev	> 5% deviation	Estimated Mass (g)	Standardized Mass (g)	D13C	 D15N 	%C	%N	C:N	Corrected D13C	use isotopes	Groups by ecography paper	groups by 19 levels	Notes	Strata d13C av	Strata d15N av		
Lepus californicus	41229-710	075-080		5739	6069	5904									-13.8	4.9	37.7	12.8	2.9		y	4						
Sigmodon hispidus	41229-14901	075-080		5739	6069	5904									-13.2	5.8	42.5	14.5	2.9	-14.7	y	4	5					
Sigmodon hispidus	41229-14903	075-080		5739	6069	5904									-13.1	5.0	37.9	13.1	2.9	-14.6	y	4	5					
Sigmodon hispidus	41229-14905	075-080		5739	6069	5904									-12.3	5.1	41.9	14.7	2.9	-13.8	y	4	5					
Sigmodon hispidus	41229-760	075-080	UM1-LEFT	5739	6069	5904		2.32	2.37	2.35	0.04	2.58	68.6	76.5	-10.9	5.7	37.6	13.1	2.9	-12.4	y	4	5					
Sigmodon hispidus	41229-757	075-080	LM1-RIGHT	5739	6069	5904	2.45		2.49	2.47	0.03	2.66	81.4	81.4	-10.5	6.8	39.6	14.0	2.8	-12.0	y	4	5					
Sigmodon hispidus	41229-14908	075-080	UM1-RIGHT	5739	6069	5904		2.38	2.41	2.40	0.02	2.27	73.5	82.0	-10.0	7.2	42.1	14.8	2.9	-11.5	y	4	5					
Sigmodon hispidus	41229-758	075-080	LM1-RIGHT	5739	6069	5904	2.48	2.52	2.51	2.50	0.02		85.1	85.1	-9.4	7.0	41.2	14.6	2.8	-10.9	y	4	5					
Lepus californicus	41229-3662	075-080		5739	6069	5904																4						
Lepus californicus	41229-15093	075-080		5739	6069	5904																4						
Onychomys leucogaster	41229-90	075-090	no m1	5739	6728	6234																4						
Sigmodon hispidus	41229-958	080-085	LM1-RIGHT	6069	6398	6234	2.52		2.44	2.48	0.06	2.37	82.5	82.5	-21.3	2.9	39.8	13.6	2.9	-22.8	y	4	6		-16.0	4.5		
Sigmodon hispidus	41229-955	080-085	LM1-LEFT	6069	6398	6234	2.49	2.48	2.54	2.50	0.03	2.54	85.1	85.1	-19.5	4.9	39.9	13.7	2.9	-21.0	y	4	6					
Sigmodon hispidus	41229-14954	080-085		6069	6398	6234									-18.3	5.3	40.8	14.3	2.9	-19.8	y	4	6					
Sigmodon hispidus	41229-9064	080-085	LM1-LEFT	6069	6398	6234	2.44		2.44	2.44	0	2.4	78.2	78.2	-17.5	6.0	39.2	13.2	3.0	-19.0	y	4	6					
Sigmodon hispidus	41229-9063	080-085	LM1-RIGHT	6069	6398	6234		2.47	2.45	2.46	0.01	2.59	80.4	80.4	-17.4	6.3	41.7	14.3	2.9	-18.9	y	4	6					
Sigmodon hispidus	41229-14952	080-085		6069	6398	6234									-17.3	4.8	39.6	13.8	2.9	-18.8	y	4	6					
Sigmodon hispidus	41229-14942	080-085		6069	6398	6234									-17.1	5.5	38.5	13.1	2.9	-18.6	y	4	6					
Sigmodon hispidus	41229-928	080-085	LM1-RIGHT	6069	6398	6234	2.46	2.44		2.45	0.01	2.37	79.3	79.3	-17.1	4.6	41.0	14.2	2.9	-18.6	y	4	6					
Sigmodon hispidus	41229-14951	080-085		6069	6398	6234									-16.4	6.2	41.2	14.0	2.9	-17.9	y	4	6					
Sigmodon hispidus	41229-14953	080-085		6069	6398	6234									-16.2	6.4	40.6	14.0	2.9	-17.7	y	4	6					
Sigmodon hispidus	41229-953	080-085	LM1-RIGHT	6069	6398	6234	2.49		2.43	2.46	0.04	2.36	80.4	80.4	-16.1	5.8	39.7	14.0	2.8	-17.6	y	4	6					
Onychomys leucogaster	41229-3664	080-085	LM1-LEFT	6069	6398	6234						1.756	26.45179938		-16.0	8.6	27.0	9.1	3.0		y	4						
Sigmodon hispidus	41229-954	080-085	LM1-LEFT	6069	6398	6234		2.69	2.64	2.67	0.04	2.5	104.7	104.7	-15.9	5.7	38.9	13.3	2.9	-17.4	y	4	6					
Sigmodon hispidus	41229-14944	080-085		6069	6398	6234									-15.8	5.6	42.5	15.0	2.8	-17.3	y	4	6					
Sigmodon hispidus	41229-14950	080-085		6069	6398	6234									-15.7	5.3	28.4	9.7	2.9	-17.2	y	4	6					
Sigmodon hispidus	41229-14949	080-085		6069	6398	6234									-15.6	7.0	42.0	14.8	2.8	-17.1	y	4	6					
Sigmodon hispidus	41229-956	080-085	LM1-LEFT	6069	6398	6234		2.56	2.57	2.57	0.01	2.64	92.3	92.3	-15.5	5.6	38.6	13.4	2.9	-17.0	y	4	6					
Sigmodon hispidus	41229-929	080-085	LM1-LEFT	6069	6398	6234		2.52	2.52	2.52	0	2.64	87.0	87.0	-15.2	6.1	39.7	13.8	2.9	-16.7	y	4	6					
Sigmodon hispidus	41229-14943	080-085		6069	6398	6234									-14.9	7.0	40.5	14.1	2.9	-16.4	y	4	6					
Lepus californicus	41229-970	080-085		6069	6398	6234									-14.7	4.2	46.3	16.5	2.8		y	4						
Lepus californicus	41229-694	080-085		6069	6398	6234									-13.6	5.4	39.2	13.9	2.8		y	4						
Sigmodon hispidus	41229-14946	080-085		6069	6398	6234									-13.3	5.4	41.8	14.4	2.9	-14.8	y	4	6					
Sigmodon hispidus	41229-959	080-085		6069	6398	6234									-12.9	7.7	36.9	12.4	3.0	-14.4	y	4	6					
Sigmodon hispidus	41229-960	080-085	UM1-RIGHT	6069	6398	6234	2.51	2.46	2.49	2.49	0.03		83.3	92.9	-12.8	5.2	40.7	13.9	2.9	-14.3	y	4	6		-15.1	5.7		
Sigmodon hispidus	41229-14945	080-085		6069	6398	6234									-12.7	6.2	27.7	9.6	2.9	-14.2	y	4	6					
Sigmodon hispidus	41229-9061	080-085	UM1-LEFT	6069	6398	6234	2.58		2.48	2.53	0.07	2.35	88.2	98.4	-12.7	6.6	42.6	14.5	2.9	-14.2	y	4	6					
Sigmodon hispidus	41229-957	080-085	LM1-RIGHT	6069	6398	6234	2.49	2.43	2.46	2.46	0.03		80.4	80.4	-12.5	6.2	39.8	13.4	3.0	-14.0	y	4	6					
Sigmodon hispidus	41229-14571	080-085	UM1-RIGHT	6069	6398	6234	2.35	2.33	2.31	2.33	0.02		67.1	74.9	-12.2	6.1	22.2	7.4	3.0	-13.7	y	4	6					
Sigmodon hispidus	41229-14948	080-085		6069	6398	6234									-12.1	6.4	41.2	14.1	2.9	-13.6	y	4	6					
Sigmodon hispidus	41229-14569	080-085	LM1-LEFT	6069	6398	6234		2.57	2.56	2.57	0.01	2.59	92.3	92.3	-12.1	6.2	29.7	10.1	2.9	-13.6	y	4	6					
Sigmodon hispidus	41229-14947	080-085		6069	6398	6234									-11.5	6.0	39.5	13.6	2.9	-13.0	y	4	6					
Sigmodon hispidus	41229-1327	080-085	LM1-RIGHT	6069	6398	6234	2.75	2.79		2.77	0.03	2.83	119.0	119.0	-10.4	7.1	37.8	13.4	2.8	-11.9	y	4	6					
Sigmodon hispidus	41229-9059	080-085	UM1-RIGHT	6069	6398	6234	2.53	2.55	2.51	2.53	0.02		88.2	98.4								4	6		-15.0	5.7		
Sigmodon hispidus	41229-9060	080-085	UM1-RIGHT	6069	6398	6234	2.22	2.12		2.17	0.07	2.04	53.0	59.1								4	6					
Sigmodon hispidus	41229-9062	080-085	UM1-LEFT	6069	6398	6234	2.19	2.2		2.20	0.01	2.07	55.1	61.5								4	6		-13.58346667	6.95588303		
Sigmodon hispidus	41229-14567	080-085	UM1-RIGHT	6069	6398	6234	2.38		2.38	2.38	0	2.34	72.0	80.3								4	6					
Sigmodon hispidus	41229-14568	080-085	UM1-RIGHT	6069	6398	6234	2.64	2.69	2.7	2.68	0.03		106.3	118.6								4	6					
Sigmodon hispidus	41229-14570	080-085	UM1-RIGHT	6069	6398	6234	2.34	2.33		2.34	0.01	2.26	67.6	75.4								4	6					
Lepus californicus	41229-15094	080-085		6069	6398	6234																4						
Onychomys leucogaster	41229-11951	085-090	no m1	6398	6728	6563									-23.0	3.8	24.4	6.4	3.8		y	5						
Onychomys leucogaster	41229-8814	085-090	LM1-LEFT	6398	6728	6563						1.912	35.12805902		-21.8	4.4	23.7	6.7	3.5		y	5						
Sigmodon hispidus	41229-8295	085-090		6398	6728	6563									-19.4	5.8	38.9	13.3	2.9	-20.9	y	5	7					
Sigmodon hispidus	41229-8294	085-090	LM1-RIGHT	6398	6728	6563	2.37	2.43		2.40	0.04		74.0	74.0	-19.3	6.1	39.7	13.7	2.9	-20.8	y	5	7					
Sigmodon hispidus	41229-8292	085-090	LM1-LEFT	6398	6728	6563		2.39	2.4	2.40	0.01	2.47	73.5	73.5	-19.2	5.4	36.0	12.3	2.9	-20.7	y	5	7					
Onychomys leucogaster	41229-8820	085-090	no m1	6398	6728	6563									-18.9	6.9	25.0	8.2	3.1		y	5						
Onychomys leucogaster	41229-8871	085-090	UM1-LEFT	6398	6728	6563						2.018	42.04915335		-18.4	8.6	41.8	14.1	3.0		y	5						
Sigmodon hispidus	41229-8298	085-090	UM1-LEFT	6398	6728	6563	2.55			2.55			90.5	101.0	-18.0	6.4	28.9	9.6	3.0	-19.5	y	5	7		-15.9459	5.463316667		
Sigmodon hispidus	41229-925	085-090	LM1-RIGHT	6398	6728	6563	2.85	2.85		2.85	0	2.75	130.8	130.8	-16.5	7.5	42.6	15.1	2.8	-18.0	y	5	7					
Onychomys leucogaster	41229-5235	085-090	no m1	6398	6728	6563									-16.3	7.4	41.9	14.2	3.0		y	5						
Onychomys leucogaster	41229-8812	085-090	LM1-RIGHT	6398	6728	6563						1.692	23.37294401		-16.3	7.7	20.5	6.7	3.1		y	5						
Sigmodon hispidus	41229-8297	085-090	UM1-LEFT	6398	6728	6563		2.54	2.46	2.50	0.06	2.3	84.8	94.6	-16.1	6.6	41.5	14.7	2.8	-17.6	y	5	7					
Sigmodon hispidus	41229-797	085-090	LM1-LEFT	6398	6728	6563	2.42	2.53		2.48	0.08		82.0	82.0	-16.0	6.1	41.1	14.4	2.8	-17.5	y	5	7					
Onychomys leucogaster	41229-8815	085-090	UM1-LEFT	6398	6728	6563						1.834	30.57489643		-15.9	8.8	35.8	11.3	3.2		y	5						
Sigmodon hispidus	41229-14714	085-090	UM1-LEFT	6398	6728	6563	2.32	2.2		2.26	0.08		60.7	67.7	-15.5	5.8	40.3	14.0	2.9	-17.0	y	5	7					
Onychomys leucogaster	41229-8819	085-090	no m1	6398	6728	6563									-15.4	7.6	32.0	10.8	3.0		y	5						
Sigmodon hispidus	41229-926	085-090	LM1-LEFT	6398	6728	6563	2.54	2.78		2.66	0.17		104.1	104.1	-15.4	6.5	42.5	14.9	2.8	-16.9	y	5	7					
Sigmodon hispidus	41229-927	085-090	LM1-RIGHT	6398	6728	6563	2.62	2.59		2.61	0.02		97.1	97.1	-14.9	5.4	42.2	14.4	2.9	-16.4	y	5	7					
Sigmodon hispidus	41229-8299	085-090	UM1-LEFT	6398	6728	6563		2.33	2.33	2.33	0	2.45	67.1	74.9	-14.9	5.0	37.8	13.2	2.9	-16.4	y	5	7					
Onychomys leucogaster	41229-8811	085-090	LM1-RIGHT	6398	6728	6563						1.584	18.7602676		-13.8	8.2	32.3	11.3	2.9		y	5						
Onychomys leucogaster	41229-8874	085-090	no m1	6398	6728	6563									-13.6	7.9	39.5	13.3	3.0		y	5						
Sigmodon hispidus	41229-14717	085-090	LM1-RIGHT	6398	6728	6563	2.48	2.49		2.49	0.01	2.44	83.1	83.1	-13.5	6.7	37.3	12.6	3.0	-15.0	y	5	7		-18.6	6.8		
Sigmodon hispidus	41229-8293	085-090	LM1-LEFT	6398	6728	6563	2.64	2.71		2.68	0.05	2.55	106.0	106.0	-12.8	6.6	37.9	13.1	2.9	-14.3	y	5	7					
Sigmodon hispidus	41229-798	085-090	UM1-RIGHT	6398	6728	6563	2.65		2.59	2.62	0.04	2.49	99.0	110.4	-10.8	5.5	41.6	14.6	2.8	-12.3	y	5	7					
Sigmodon hispidus	41229-14716	085-090	LM1-LEFT	6398	6728	6563	2.54		2.45	2.50	0.06	2.36	84.2	84.2	-10.7	6.0	36.7	12.7	2.9	-12.2	y	5	7					
Sigmodon hispidus	41229-796	085-090	LM1-RIGHT	6398	6728	6563	2.72	2.7		2.71	0.01		110.7	110.7								5	7					
Sigmodon hispidus	41229-1614	085-090	LM1-LEFT	6398	6728	6563	2.52	2.51		2.52	0.01		86.5	86.5								5	7					
Sigmodon hispidus	41229-1615	085-090	UM1-LEFT	6398	6728	6563	2.56	2.47		2.52	0.06		86.5	96.5								5	7					
Sigmodon hispidus	41229-8291	085-090	LM1-LEFT	6398	6728	6563		2.58	2.58	2.58	0	2.78	94.1	94.1								5	7					
Sigmodon hispidus	41229-8485	085-090	UM1-LEFT	6398	6728	6563	2.56	2.56		2.56	0		91.7	102.3								5	7		-15.2	6.7		
Sigmodon hispidus	41229-14713	085-090	UM1-RIGHT	6398	6728	6563		2.55	2.56	2.56	0.01	2.59	91.1	101.6								5	7					
Sigmodon hispidus	41229-14718	085-090	LM1-LEFT	6398	6728	6563	2.5	2.54	2.47	2.50	0.04		85.1	85.1								5	7					
Sigmodon hispidus	41229-14719	085-090	LM1-LEFT	6398	6728	6563		2.44	2.4	2.42	0.03	2.53	76.1	76.1								5	7					
Sigmodon hispidus	41229-14720	085-090	UM1-RIGHT	6398	6728	6563		2.32	2.25	2.29	0.05		62.9	70.2								5	7					
Sigmodon hispidus	41229-14722	085-090	LM1-LEFT	6398	6728	6563	2.64	2.72		2.68	0.056568542		106.7	106.7								5	7					
Sigmodon hispidus	41229-14723	085-090	LM1-RIGHT	6398	6728	6563	2.38	2.39		2.39	0.007071068	2.43	72.5	72.5								5	7					
Sigmodon hispidus	41229-14724	085-090	LM1-LEFT	6398	6728	6563	2.59	2.6	2.58	2.59	0.01		95.3	95.3								5	7		-13.4	6.4		
Sigmodon hispidus	41229-14725	085-090	LM1-LEFT	6398	6728	6563		2.53	2.51	2.52	0.01	2.47	87.0	87.0								5	7					
Onychomys leucogaster	41229-11952	085-090	LM1-LEFT	6398	6728	6563						1.884	33.442571									5						
Onychomys leucogaster	41229-3729	085-090	LM1-LEFT	6398	6728	6563						2.013	41.70290655									5						
Onychomys leucogaster	41229-8813	085-090	LM1-RIGHT	6398	6728	6563						2.012	41.63389748									5						
Onychomys leucogaster	41229-8816	085-090	UM1-LEFT	6398	6728	6563						1.949	37.44534903									5						
Onychomys leucogaster	41229-8817	085-090	UM1-RIGHT	6398	6728	6563						2.104	48.32439878									5						
Onychomys leucogaster	41229-8818	085-090	UM1-RIGHT	6398	6728	6563						2.000	40.81201135									5						
Onychomys leucogaster	41229-8872	085-090	UM1-RIGHT	6398	6728	6563						1.339	10.71555541									5						
Onychomys leucogaster	41229-8873	085-090	no m1	6398	6728	6563																5						
Lepus californicus	41229-15095	085-090		6398	6728	6563																5						
Lepus californicus	41229-15096	085-090		6398	6728	6563																5						
Sigmodon hispidus	41229-795	085-090	LM1-RIGHT	6398	6728	6563		2.64	2.72	2.68	0.06	2.54	106.7	106.7								5	7					
Lepus californicus	41229-2792	090-095		6728	7057	6893									-19.3	4.6	12.5	3.4	3.7		y	5						
Sigmodon hispidus	41229-2542	090-095		6728	7057	6893									-18.9	5.0	41.2	14.5	2.8	-20.4	y	5	8					
Sigmodon hispidus	41229-10385	090-095		6728	7057	6893									-18.9	5.8	31.5	10.8	2.9	-20.4	y	5	8		-17.2	5.5		
Sigmodon hispidus	41229-2543	090-095	LM1-RIGHT	6728	7057	6893	2.7		2.72	2.71	0.01	2.65	110.7	110.7	-18.2	5.4	43.6	15.0	2.9	-19.7	y	5	8					
Lepus californicus	41229-2793	090-095		6728	7057	6893									-17.9	5.0	40.3	14.5	2.8		y	5						
Sigmodon hispidus	41229-14911	090-095		6728	7057	6893									-16.9	5.7	41.9	14.5	2.9	-18.4	y	5	8					
Sigmodon hispidus	41229-2544	090-095	LM1-RIGHT	6728	7057	6893	2.43	2.44		2.44	0.01	2.4	77.7	77.7	-16.7	6.7	40.1	13.7	2.9	-18.2	y	5	8					
Sigmodon hispidus	41229-14910	090-095	LM1-RIGHT	6728	7057	6893		2.49	2.47	2.48	0.01	2.54	82.5	82.5	-15.4	5.2	27.2	9.1	3.0	-16.9	y	5	8					
Sigmodon hispidus	41229-2541	090-095	LM1-LEFT	6728	7057	6893	2.47	2.46		2.47	0.01	2.5	80.9	80.9	-15.2	4.7	41.3	14.4	2.9	-16.7	y	5	8					
Lepus californicus	41229-2833	090-095		6728	7057	6893									-14.4	5.6	38.0	13.3	2.9		y	5						
Lepus californicus	41229-2815	090-095		6728	7057	6893									-13.4	5.9	37.7	13.8	2.7		y	5						
Sigmodon hispidus	41229-15045	090-095	UM1-RIGHT	6728	7057	6893	2.46		2.4	2.43	0.04	2.59	77.2	86.1								5	8					
Onychomys leucogaster	41229-11586	090-095	no m1	6728	7057	6893																5						
Onychomys leucogaster	41229-11956	090-095	LM1-LEFT	6728	7057	6893						1.814	29.47766551				14.4	3.0	4.8			5						
Lepus californicus	41229-2545	090-095		6728	7057	6893																5						
Lepus californicus	41229-2553	090-095		6728	7057	6893																5						
Lepus californicus	41229-2791	090-095		6728	7057	6893																5						
Lepus californicus	41229-2794	090-095		6728	7057	6893																5						
Lepus californicus	41229-2795	090-095		6728	7057	6893																5						
Lepus californicus	41229-2796	090-095		6728	7057	6893																5						
Lepus californicus	41229-2832	090-095		6728	7057	6893																5						
Lepus californicus	41229-15097	090-095		6728	7057	6893																5						
Lepus californicus	41229-15139	090-095		6728	7057	6893																5						
Lepus californicus	41229-15150	090-095		6728	7057	6893																5						
Lepus californicus	41229-15151	090-095		6728	7057	6893																5						
Sigmodon hispidus	41229-114	090-150		6728	10680	8704									-13.3	6.3	41.3	14.7	2.8	-14.8	y	5	8		-13.3	6.3		
Onychomys leucogaster	41229-6324	095-100	LM1-RIGHT	7057	7386	7222						1.846	31.2467799		-25.1		31.1	4.3	7.2		n	5						
Sigmodon hispidus	41229-7669	095-100		7057	7386	7222									-19.6	5.6	43.9	14.9	3.0	-21.1	y	5	8					
Sigmodon hispidus	41229-6318	095-100		7057	7386	7222									-18.9	5.6	41.3	14.2	2.9	-20.4	y	5	8					
Sigmodon hispidus	41229-6316	095-100	LM1-RIGHT	7057	7386	7222	2.44		2.41	2.43	0.02	2.52	76.6	76.6	-18.0	6.5	39.4	13.5	2.9	-19.5	y	5	8					
Sigmodon hispidus	41229-6352	095-100		7057	7386	7222									-16.8	4.8	39.7	13.7	2.9	-18.3	y	5	8					
Sigmodon hispidus	41229-7670	095-100		7057	7386	7222									-13.7	6.0	45.0	15.5	2.9	-15.2	y	5	8					
Sigmodon hispidus	41229-14912	095-100		7057	7386	7222									-12.9	6.2	28.4	9.8	2.9	-14.4	y	5	8		-14.7	5.9		
Sigmodon hispidus	41229-7668	095-100		7057	7386	7222									-11.7	6.8	42.4	15.2	2.8	-13.2	y	5	8					
Sigmodon hispidus	41229-6317	095-100	UM1-LEFT	7057	7386	7222	2.3		2.22	2.26	0.06	2.09	60.7	67.7	-10.9	5.6	44.2	15.2	2.9	-12.4	y	5	8					
Sigmodon hispidus	41229-6315	095-100	LM1-LEFT	7057	7386	7222	2.54	2.59		2.57	0.04	2.41	92.3	92.3	-10.2	6.0	41.6	14.8	2.8	-11.7	y	5	8					
Sigmodon hispidus	41229-6319	095-100	UM1-LEFT	7057	7386	7222	2.5	2.55		2.53	0.04	2.42	87.6	97.7								5	8					
Onychomys leucogaster	41229-10050	095-100	no m1	7057	7386	7222																5						
Onychomys leucogaster	41229-6353	095-100	no m1	7057	7386	7222																5						
Onychomys leucogaster	41229-6354	095-100	no m1	7057	7386	7222																5						
Onychomys leucogaster	41229-7676	095-100	no m1	7057	7386	7222																5						
Onychomys leucogaster	41229-7677	095-100	UM1-LEFT	7057	7386	7222						1.975	39.13633631									5						
Onychomys leucogaster	41229-7678	095-100	UM1-LEFT	7057	7386	7222						1.868	32.5052969									5						
Onychomys leucogaster	41229-7679	095-100	UM1-LEFT	7057	7386	7222						1.952	37.63780094									5						
Onychomys leucogaster	41229-7680	095-100	UM1-LEFT	7057	7386	7222						2.026	42.6073261									5						
Lepus californicus	41229-1727	095-100		7057	7386	7222																5						
Lepus californicus	41229-1728	095-100		7057	7386	7222																5						
Lepus californicus	41229-6322	095-100		7057	7386	7222																5						
Lepus californicus	41229-7792	095-100		7057	7386	7222																5						
Lepus californicus	41229-15099	095-100		7057	7386	7222																5						
Lepus californicus	41229-15100	095-100		7057	7386	7222																5						
Lepus californicus	41229-1145	100-105		7386	7716	7551									-19.4	5.4	29.7	9.0	3.3		y	5						
Lepus californicus	41229-2615	100-105		7386	7716	7551									-17.5	4.4	40.6	14.3	2.8		y	5						
Lepus californicus	41229-2557	100-105		7386	7716	7551									-17.0	5.9	43.4	15.8	2.8		y	5						
Sigmodon hispidus	41229-14869	100-105		7386	7716	7551									-16.3	7.1	32.4	11.1	2.9	-17.8	y	5	8					
Sigmodon hispidus	41229-14870	100-105		7386	7716	7551									-15.9	6.8	42.5	15.1	2.8	-17.4	y	5	8					
Sigmodon hispidus	41229-14871	100-105		7386	7716	7551									-15.0	6.1	43.0	14.1	3.0	-16.5	y	5	8					
Sigmodon hispidus	41229-907	100-105		7386	7716	7551									-14.3	7.0	42.5	14.5	2.9	-15.8	y	5	8					
Sigmodon hispidus	41229-14868	100-105		7386	7716	7551									-13.6	6.7	41.5	14.0	3.0	-15.1	y	5	8					
Sigmodon hispidus	41229-14873	100-105	LM1-RIGHT	7386	7716	7551	2.71	2.7		2.71	0.01	2.66	110.0	110.0	-12.5	5.0	42.4	14.8	2.9	-14.0	y	5	8		-14.4	7.3		
Sigmodon hispidus	41229-10077	100-105		7386	7716	7551									-12.0	7.9	42.5	15.3	2.8	-13.5	y	5	8		-13.9	6.9		
Lepus californicus	41229-1148	100-105		7386	7716	7551									-11.5	7.0	45.4	15.5	2.9		y	5						
Sigmodon hispidus	41229-14872	100-105	LM1-LEFT	7386	7716	7551	2.77	2.77		2.77	0	2.75	119.0	119.0	-11.5	8.4	39.9	14.0	2.9	-13.0	y	5	8					
Lepus californicus	41229-2560	100-105		7386	7716	7551									-11.2	6.6	33.3	11.6	2.9		y	5						
Sigmodon hispidus	41229-902	100-105	UM1-LEFT	7386	7716	7551	2.27		2.27	2.27	0	2.2	61.6	68.7								5	8					
Sigmodon hispidus	41229-14994	100-105	LM1-RIGHT	7386	7716	7551	2.63		2.62	2.63	0.01	2.67	99.6	99.6								5	8					
Sigmodon hispidus	41229-14995	100-105	LM1-LEFT	7386	7716	7551	2.47	2.41		2.44	0.04	2.33	78.2	78.2								5	8					
Sigmodon hispidus	41229-14996	100-105	LM1-LEFT	7386	7716	7551	2.34	2.38		2.36	0.03	2.46	70.0	70.0								5	8					
Sigmodon hispidus	41229-14997	100-105	LM1-LEFT	7386	7716	7551		2.48	2.49	2.49	0.01	2.32	83.1	83.1								5	8					
Sigmodon hispidus	41229-14998	100-105	LM1-LEFT	7386	7716	7551		2.42	2.33	2.38	0.06	2.24	71.5	71.5								5	8					
Sigmodon hispidus	41229-14999	100-105	LM1-RIGHT	7386	7716	7551	2.44	2.49	2.4	2.44	0.05		78.6	78.6								5	8					
Sigmodon hispidus	41229-15000	100-105	LM1-RIGHT	7386	7716	7551	2.45	2.45		2.45	0	2.35	79.3	79.3								5	8					
Sigmodon hispidus	41229-15001	100-105	LM1-RIGHT	7386	7716	7551	2.43	2.37	2.31	2.37	0.06		71.0	71.0								5	8					
Sigmodon hispidus	41229-15002	100-105	LM1-LEFT	7386	7716	7551	2.2		2.22	2.21	0.01	2.29	56.4	56.4								5	8					
Onychomys leucogaster	41229-10117	100-105	no m1	7386	7716	7551											15.1	4.6	3.3			5						
Onychomys leucogaster	41229-10118	100-105	LM1-RIGHT	7386	7716	7551						1.984	39.73391899									5						
Lepus californicus	41229-906	100-105		7386	7716	7551																5						
Lepus californicus	41229-1134	100-105		7386	7716	7551																5						
Lepus californicus	41229-1135	100-105		7386	7716	7551																5						
Lepus californicus	41229-1144	100-105		7386	7716	7551																5						
Lepus californicus	41229-1146	100-105		7386	7716	7551																5						
Lepus californicus	41229-1147	100-105		7386	7716	7551																5						
Lepus californicus	41229-1149	100-105		7386	7716	7551																5						
Lepus californicus	41229-1150	100-105		7386	7716	7551																5						
Lepus californicus	41229-2558	100-105		7386	7716	7551																5						
Lepus californicus	41229-2559	100-105		7386	7716	7551																5						
Lepus californicus	41229-2563	100-105		7386	7716	7551																5						
Lepus californicus	41229-2609	100-105		7386	7716	7551																5						
Lepus californicus	41229-15107	100-105		7386	7716	7551																5						
Lepus californicus	41229-15108	100-105		7386	7716	7551																5						
Lepus californicus	41229-885	105-110		7716	8045	7881									-18.7	5.0	43.8	15.5	2.8		y	5						
Sigmodon hispidus	41229-14934	105-110	UM1-LEFT	7716	8045	7881	2.28	2.27	2.23	2.26	0.03		60.7	67.7	-18.6	9.1	42.6	14.9	2.9	-20.1	y	5	9					
Lepus californicus	41229-15105	105-110		7716	8045	7881									-17.1	6.7	26.3	9.1	2.9		y	5						
Lepus californicus	41229-15098	105-110		7716	8045	7881									-15.2	6.3	40.1	13.8	2.9		y	5						
Sigmodon hispidus	41229-14936	105-110		7716	8045	7881									-14.9	8.9	37.7	13.0	2.9	-16.4	y	5	9					
Sigmodon hispidus	41229-14875	105-110	LM1-LEFT	7716	8045	7881	1.97	2.01	2.06	2.01	0.05		41.4	41.4	-13.9	7.2	37.0	13.1	2.8	-15.4	y	5	9					
Sigmodon hispidus	41229-14935	105-110	LM1-RIGHT	7716	8045	7881	2.22	2.22	2.22	2.22	0		57.2	57.2	-13.9	5.7	32.1	11.1	2.9	-15.4	y	5	9					
Sigmodon hispidus	41229-14938	105-110	UM1-LEFT	7716	8045	7881	2.41	2.34		2.38	0.05	2.22	71.5	79.8	-13.7	6.0	43.5	15.1	2.9	-15.2	y	5	9					
Sigmodon hispidus	41229-14939	105-110		7716	8045	7881									-13.0	6.7	42.0	14.2	3.0	-14.5	y	5	9					
Sigmodon hispidus	41229-14876	105-110	LM1-RIGHT	7716	8045	7881	2.59		2.58	2.59	0.01	2.65	94.7	94.7	-12.1	7.0	40.7	14.2	2.9	-13.6	y	5	9					
Sigmodon hispidus	41229-11632	105-110		7716	8045	7881									-12.1	9.0	36.3	13.2	2.8	-13.6	y	5	9		-13.1	7.2		
Sigmodon hispidus	41229-14937	105-110		7716	8045	7881									-12.1	5.7	23.4	8.0	2.9	-13.6	y	5	9					
Sigmodon hispidus	41229-14874	105-110	LM1-RIGHT	7716	8045	7881	2.58		2.59	2.59	0.01	2.46	94.7	94.7	-11.4	5.8	44.1	15.7	2.8	-12.9	y	5	9					
Sigmodon hispidus	41229-14955	105-110	UM1-LEFT	7716	8045	7881		2.51	2.54	2.53	0.02	2.7	87.6	97.7	-11.1	9.0	41.8	14.6	2.9	-12.6	y	5	9					
Sigmodon hispidus	41229-895	105-110	LM1-RIGHT	7716	8045	7881	2.48	2.42	2.48	2.46	0.03		80.4	80.4	-10.0	6.2	44.6	15.7	2.8	-11.5	y	5	9					
Sigmodon hispidus	41229-896	105-110	LM1-LEFT	7716	8045	7881		2.67	2.66	2.67	0.01	2.74	104.7	104.7								5	9					
Sigmodon hispidus	41229-14933	105-110	LM1-RIGHT	7716	8045	7881	2.41		2.39	2.40	0.01	2.48	74.0	74.0								5	9					
Sigmodon hispidus	41229-15003	105-110	LM1-LEFT	7716	8045	7881	2.38		2.43	2.41	0.04	2.64	74.6	74.6								5	9					
Sigmodon hispidus	41229-15004	105-110	LM1-LEFT	7716	8045	7881	2.47		2.47	2.47	0	2.62	81.4	81.4								5	9					
